Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,-0.8418168,0
0.020058,-0.01681101,-0.006790101,-0.008645086,-0.7400156,0
0.040116,-0.03003847,-0.01603777,-0.02030015,-0.174628,0
0.060174,-0.04971762,-0.02526864,-0.03060272,-0.08692247,0
0.080232,-0.07570899,-0.03280686,-0.03734016,-0.1527016,0
0.10029,-0.1077982,-0.0361095,-0.03948425,-0.2435396,0
0.120348,-0.1424589,-0.0341992,-0.03787603,-0.2435396,0
0.140406,-0.1734902,-0.02971892,-0.03468703,-0.08692247,0
0.160464,-0.199113,-0.02626682,-0.03178941,-0.03210652,0
0.180522,-0.2235985,-0.02487976,-0.02948323,-0.008613944,0
0.20058,-0.2503145,-0.0245067,-0.02701252,0.06969464,0
0.220638,-0.2772404,-0.02454765,-0.02384068,-0.008613944,0
0.240696,-0.3001449,-0.02566908,-0.02026071,-0.08692247,0
0.260754,-0.316942,-0.0286871,-0.01711339,-0.1213782,0
0.280812,-0.3278003,-0.03335748,-0.01514661,0.03210652,0
0.30087,-0.3339042,-0.03768618,-0.01434756,0.1088488,0
0.320928,-0.3370157,-0.03916418,-0.01379178,0.2263117,0
0.340986,-0.338374,-0.03768866,-0.0121117,0.1902897,1
0.361044,-0.3382803,-0.03571006,-0.008135531,0.1480031,0
0.381102,-0.336685,-0.0351724,-0.002564217,0.1480031,0
0.40116,-0.3329902,-0.03566674,0.001320044,0.2263117,0
0.421218,-0.3257609,-0.0352862,0.000770408,0.2263117,0
0.441276,-0.3145583,-0.03297613,-0.003708794,0.1480031,0
0.461334,-0.3019207,-0.02996716,-0.009666072,0.06969464,0
0.481392,-0.2911929,-0.02821279,-0.01483363,-0.008613944,0
0.50145,-0.2834403,-0.02836285,-0.01754719,-0.08692247,0
0.521508,-0.2775185,-0.02956702,-0.01653089,-0.02270949,0
0.541566,-0.2704735,-0.02975186,-0.0116238,-0.07595927,0
0.561624,-0.2590155,-0.0269091,-0.004684884,0.06969464,0
0.581682,-0.2431284,-0.02106516,0.001458798,-0.008613944,0
0.60174,-0.226031,-0.01378004,0.00518425,-0.01487863,0
0.621798,-0.2110452,-0.0063915,0.006968679,-0.008613944,0
0.641856,-0.1998155,0.000301171,0.008402985,0.06969464,0
0.661914,-0.1913768,0.006091423,0.01038084,0.06969464,0
0.681972,-0.1829839,0.01128636,0.01280627,-0.008613944,0
0.70203,-0.1714847,0.01591209,0.01581093,-0.08692247,0
0.722088,-0.15274,0.0195935,0.01976382,-0.008613944,0
0.742146,-0.1237829,0.02212587,0.0241599,0.06969464,0
0.762204,-0.08835056,0.02350042,0.02787895,0.003915429,0
0.782262,-0.05551334,0.02346256,0.03054272,0.06969464,0
0.80232,-0.03085853,0.02167469,0.03201582,0.008613944,0
0.822378,-0.0137713,0.01814798,0.03082363,0.1855912,0
0.842436,-0.003042966,0.01298001,0.02500953,0.7744714,0
0.862494,0.001139075,0.006549313,0.01418355,0.321848,0
0.882552,0,0,0,-1,0
