Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,0.290041,0
0.019962,-0.01046291,-0.003385375,0.002932937,0.07230556,0
0.039924,-0.02302147,-0.007074881,0.007927778,-0.05538881,0
0.059886,-0.03744042,-0.01207023,0.01250606,-0.2654843,0
0.079848,-0.0507246,-0.01774105,0.01504879,-0.8100955,0
0.09981,-0.06119718,-0.02243358,0.01508945,-0.6130968,0
0.119772,-0.06949028,-0.02570664,0.01322884,0.5841746,0
0.139734,-0.07636998,-0.02938144,0.01044544,0.8908595,0
0.159696,-0.08094398,-0.03506956,0.007318365,0.9454297,0
0.179658,-0.08141201,-0.04258518,0.004317417,1,0
0.19962,-0.07829859,-0.05141005,0.002711007,1,0
0.219582,-0.07608708,-0.06130762,0.00329465,0.9454297,0
0.239544,-0.07898822,-0.07175039,0.004800704,0.9372442,0
0.259506,-0.0870733,-0.08190504,0.005183295,0.8908595,0
0.279468,-0.09830532,-0.09066371,0.003631582,0.8908595,0
0.29943,-0.1113284,-0.09710506,0.000848219,0.8908595,0
0.319392,-0.12538,-0.1013559,-0.001726687,0.8908595,0
0.339354,-0.1391645,-0.1044044,-0.002823756,0.8908595,0
0.359316,-0.1515369,-0.1068871,-0.001841593,0.8362892,0
0.379278,-0.1633797,-0.108761,0.00143342,0.7271487,0
0.39924,-0.1752798,-0.1105513,0.006748301,0.5961801,0
0.419202,-0.1841857,-0.1136181,0.01222584,0.4542974,0
0.439164,-0.1868599,-0.1182817,0.01473117,0.3473397,0
0.459126,-0.1835018,-0.1225638,0.01272091,0.3451569,1
0.479088,-0.1752471,-0.1229372,0.007473021,0.3451569,0
0.49905,-0.162367,-0.1163692,0.00129524,0.3451569,0
0.519012,-0.1455779,-0.1027871,-0.004225372,0.3997271,0
0.538974,-0.126804,-0.08541927,-0.008779624,0.4542974,0
0.558936,-0.1085701,-0.06809589,-0.01283476,0.5448841,0
0.578898,-0.09210524,-0.0528267,-0.01638636,0.594543,0
0.59886,-0.07583296,-0.039786,-0.01844218,0.4974079,0
0.618822,-0.05716217,-0.02857279,-0.01777901,0.3997271,0
0.638784,-0.03665341,-0.01929455,-0.01431929,0.3451569,0
0.658746,-0.01848661,-0.01237631,-0.009728773,0.2905866,0
0.678708,-0.005718991,-0.007577365,-0.006048017,0.3451569,0
0.69867,0.001877442,-0.004081804,-0.003915905,0.3517053,0
0.718632,0.005168378,-0.001451083,-0.002646562,0.4542974,0
0.738594,0.004262149,7.72e-05,-0.001464764,0.3997271,0
0.758556,0,0,0,0.3997271,0
