Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,1,0
0.016221,0.006127631,0.000994336,-0.0101331,0.7408473,0
0.032442,0.01161359,0.001616493,-0.02039768,-0.2373509,0
0.048663,0.01359374,0.000735014,-0.02938098,-0.5911148,0
0.064884,0.009310139,-0.001527016,-0.03672027,-0.6519951,0
0.081105,-0.00176839,-0.00345021,-0.04330383,-0.6199095,0
0.097326,-0.0177091,-0.00352643,-0.04981486,-0.5697244,0
0.113547,-0.0357465,-0.001730902,-0.05604057,-0.5697244,0
0.129768,-0.05366589,0.000834464,-0.06195606,-0.5697244,0
0.145989,-0.07034653,0.00270411,-0.0683818,-0.5697244,0
0.16221,-0.08577498,0.002951064,-0.07594633,-0.5697244,0
0.178431,-0.1002604,0.001621143,-0.08412728,-0.5697244,0
0.194652,-0.1138842,-0.000897521,-0.09152348,-0.4965035,0
0.210873,-0.1266936,-0.004604876,-0.09686706,-0.4874537,0
0.227094,-0.138579,-0.009836192,-0.1001984,-0.4051831,0
0.243315,-0.1491886,-0.01656721,-0.1028821,-0.3146853,0
0.259536,-0.1585044,-0.02391452,-0.1060179,-0.158371,0
0.275757,-0.1668815,-0.03083566,-0.1092638,-0.07610035,0
0.291978,-0.1741042,-0.03737838,-0.1112538,0.006170273,0
0.308199,-0.1793605,-0.04441896,-0.1107617,-0.02591527,0
0.32442,-0.1827984,-0.05227098,-0.1077197,-0.158371,0
0.340641,-0.186144,-0.06043451,-0.1032877,-0.3229124,0
0.356862,-0.1909664,-0.06839216,-0.09881943,-0.4874537,0
0.373083,-0.1969188,-0.07595564,-0.09492522,-0.6248457,0
0.389304,-0.2022604,-0.0830714,-0.09124602,-0.6519951,0
0.405525,-0.2059072,-0.08957884,-0.08673084,-0.6519951,0
0.421746,-0.2084217,-0.09523694,-0.0804501,-0.6519951,1
0.437967,-0.2102013,-0.100038,-0.07222714,-0.6519951,0
0.454188,-0.2093812,-0.1039517,-0.06249639,-0.6519951,0
0.470409,-0.2040051,-0.1061836,-0.05199638,-0.6519951,0
0.48663,-0.1957516,-0.1052876,-0.04189232,-0.6519951,0
0.502851,-0.1881932,-0.09992801,-0.033971,-0.6519951,0
0.519072,-0.1822238,-0.08965898,-0.0297585,-0.6519951,0
0.535293,-0.1764952,-0.0759427,-0.02912716,-0.6519951,0
0.551514,-0.1706689,-0.0622379,-0.03058175,-0.5697244,0
0.567735,-0.1651378,-0.05210944,-0.03281643,-0.5697244,0
0.583956,-0.1595142,-0.04682219,-0.03538144,-0.5697244,0
0.600177,-0.1537242,-0.04480174,-0.03809103,-0.5697244,0
0.616398,-0.1489649,-0.04358302,-0.04027482,-0.5697244,0
0.632619,-0.145997,-0.04172355,-0.04101086,-0.5697244,0
0.64884,-0.1434243,-0.03878996,-0.04006116,-0.5697244,0
0.665061,-0.1387858,-0.03497368,-0.03795931,-0.5697244,0
0.681282,-0.1308549,-0.03112451,-0.03519986,-0.5697244,0
0.697503,-0.1206298,-0.02812911,-0.03208055,-0.5697244,0
0.713724,-0.1107643,-0.02613862,-0.02914923,-0.5697244,0
0.729945,-0.1036624,-0.02470403,-0.02698841,-0.5697244,0
0.746166,-0.09967378,-0.02325063,-0.0257544,-0.5697244,0
0.762387,-0.0974241,-0.02130311,-0.0252974,-0.5697244,0
0.778608,-0.09543488,-0.01873196,-0.02541737,-0.5697244,0
0.794829,-0.09329738,-0.01595525,-0.02583594,-0.5697244,0
0.81105,-0.0916301,-0.01363251,-0.02605216,-0.5697244,0
0.827271,-0.09039301,-0.01208301,-0.0255255,-0.5697244,0
0.843492,-0.08781826,-0.0111067,-0.02419522,-0.5697244,0
0.859713,-0.08206264,-0.0102433,-0.02251627,-0.4874537,0
0.875934,-0.07320843,-0.009139569,-0.02080101,-0.4874537,0
0.892155,-0.0632813,-0.007781702,-0.01878018,-0.4874537,0
0.908376,-0.05459395,-0.006584937,-0.01576041,-0.5697244,0
0.924597,-0.04771555,-0.00622628,-0.01100378,-0.6519951,0
0.940818,-0.04143324,-0.006761036,-0.004319145,-0.6519951,0
0.957039,-0.03480705,-0.007115525,0.003404975,-0.6519951,0
0.97326,-0.02798395,-0.006439884,0.01056237,-0.6519951,0
0.989481,-0.02139728,-0.005206393,0.01590263,-0.6519951,0
1.005702,-0.01583561,-0.004051823,0.01910186,-0.6519951,0
1.021923,-0.01240946,-0.002838212,0.02037871,-0.6108598,0
1.038144,-0.01096336,-0.001497611,0.01986575,-0.6166186,0
1.054365,-0.009585947,-0.000516692,0.01749172,-0.9786096,0
1.070586,-0.006714202,-0.000114872,0.01325131,-0.8050185,0
1.086807,-0.002855755,2.17e-05,0.00732771,0.4923899,0
1.103028,-5.2e-17,-1.63e-18,0,0.8469765,0
