Patch Number,Myocardial work value
1,4.89421300773292
2,4.84380526762218
3,4.73694851895552
4,5.10724482743772
5,5.08145828349585
6,5.21795362609508
7,5.20742951740255
8,5.54177270085746
9,5.32700259109479
10,5.82218218931011
11,4.92122168429269
12,4.78200450946046
13,4.67130260629551
14,4.68251465105796
15,4.85052807975504
16,5.4984266311721
17,6.01882411621928
18,4.99748561523863
19,4.99711774242713
20,4.65512488597391
21,4.60600403764965
22,4.73925029317754
23,4.89473091101525
24,5.56664490034676
25,6.0175888588794
26,5.121765506222
27,4.8089997397368
28,4.69359728266317
29,4.58717946553572
30,4.68359135891359
31,4.80327882318494
32,4.94550081293629
33,5.63758619881757
34,5.67146353021152
35,4.65442838202462
36,4.82873695600034
37,4.62538266611968
38,4.68490632917779
39,4.76743040225559
40,4.87319734204572
41,5.0016251871009
42,6.08119333003487
43,5.9534084804066
44,4.97892365247782
45,4.9711848756448
46,4.88271367276772
47,4.78732548683073
48,4.85592722055568
49,4.94759192559786
50,5.9428561242684
51,6.4548597570747
52,5.02732454361035
53,4.8037892384048
54,4.89276884416039
55,4.94756795517181
56,5.95264813587378
57,6.55378273975451
58,5.16003498863344
59,5.11415191562647
60,5.55127721862934
61,6.07646847101827
62,6.07959410322191
63,5.49831292961031
64,5.7146941239143
65,6.16525620353818
66,4.71727212228051
67,4.46346117845847
68,4.52467399666342
69,4.66407777767931
70,4.63257974266876
71,4.75943855205569
72,4.74197722769032
73,4.87010080705404
74,4.86505032442407
75,4.99481342065893
76,5.0001591975193
77,5.13182263444659
78,5.14523319616619
79,5.36610625017408
80,5.26184525678472
81,5.49881506496206
82,4.75737582881467
83,4.50655563515203
84,4.27222021896147
85,4.14153378086939
86,4.27742468110967
87,4.43493255431094
88,4.61304702996205
89,4.8100600327866
90,5.15593010465816
91,5.45528303730858
92,5.50826184794002
93,4.26548293122118
94,4.53969544629066
95,4.10381019875734
96,4.20546674607602
97,4.32974279045043
98,5.44803180576399
99,5.51119189655832
100,4.46530095593958
101,4.55576033212211
102,4.34162878887315
103,4.28236377457972
104,5.22520411634207
105,4.77193577045215
106,4.38089424666189
107,5.27295749015456
108,5.05130782598865
109,4.78285795127795
110,5.58098232365231
111,4.82300971783129
112,5.6398983980058
113,4.91669843452384
114,5.30327397135572
115,5.10448752874041
116,5.80351409836082
117,5.0006664443836
118,5.08888895302538
119,5.72898863392035
120,5.07807903962647
121,5.22403822006185
122,6.17042471940676
123,5.94923964469025
124,5.35281635674815
125,5.46790342130428
126,5.33460775075472
127,6.15475591937454
128,6.36691362998481
129,5.51587036487166
130,5.4426312006001
131,5.71105737573339
132,6.14034820825548
133,6.5908461132856
134,6.47445714114945
135,6.00525479791617
136,6.39545684488877
137,6.53941191993447
138,4.57733366321065
139,4.35386355764122
140,4.4275481643987
141,4.49017893527332
142,4.5265682411374
143,4.61847140874131
144,4.66259004521597
145,4.75753975630399
146,4.80652114333763
147,4.97154192516601
148,4.90999055692418
149,5.14162778577762
150,4.49705229691762
151,4.17873176019256
152,4.3385108445048
153,4.31038491649974
154,4.14184170782103
155,4.06302502351676
156,4.23422764595061
157,4.42131366502425
158,4.75139632494831
159,5.0141379396758
160,5.1877441257801
161,5.21234629404809
162,5.34791278050006
163,4.06272916994774
164,4.39139520949545
165,3.80227304307804
166,3.92679488405976
167,4.07110037059654
168,4.23426993728625
169,4.41497589960308
170,4.61143675408684
171,4.82136679913339
172,5.06681218650756
173,5.26673866307094
174,5.47047626004342
175,4.09552302701778
176,4.29352239239294
177,3.84631795398458
178,5.24484234613646
179,5.37974820830654
180,5.17134397384703
181,4.14043568322974
182,4.281371096543
183,5.27854246594304
184,5.15855469905893
185,4.50900567211701
186,5.16251083831848
