Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
1,0,-0.0523390989896053,-0.140290905798736,-0.22094086797829,-0.243540854928391,-0.292908547983972,-0.201651986135026,-0.328823483696785,-0.230387784078652,-0.0764514038854115,-0.0902028340468732
2,0,-0.0555676846002836,-0.114976329517877,-0.243677957602182,-0.255707063123532,-0.276281806510283,-0.176906391488164,-0.29062521308313,-0.208057147388627,-0.0958890033064117,-0.0750349863869616
3,0,-0.0582864245656927,-0.101349242648616,-0.244665058912053,-0.23859007675116,-0.268447399737378,-0.13792354965786,-0.300002283789827,-0.216485532850727,-0.0790153560630219,-0.0759051156803199
4,0,-0.0804781939423118,-0.197271701048521,-0.229363612834611,-0.27697477958007,-0.345068135845897,-0.340011076219075,-0.349561785604757,-0.237303391758019,-0.0941450568724702,-0.107077771080994
5,0,-0.0442443833768922,-0.0906764844359096,-0.233910699133319,-0.228611333667535,-0.262062254821055,-0.134315011561611,-0.30119555278017,-0.220053760903778,-0.0635491613128896,-0.0740929224297405
6,0,-0.073505969074772,-0.109091227894821,-0.253909088897447,-0.254013594289122,-0.28624787914499,-0.175593529247658,-0.29708620405795,-0.209703248111932,-0.0775138093372948,-0.0754806239843739
7,0,-0.0403409951646302,-0.087405967919807,-0.228979809822421,-0.23219670887588,-0.265277062307356,-0.154453681715435,-0.29408645820932,-0.212440746374337,-0.0580786345319942,-0.0685665640759592
8,0,-0.100801664054642,-0.132046614457261,-0.274182329546839,-0.262927246286886,-0.304494757823676,-0.186122765445546,-0.32310456269374,-0.228507377804798,-0.102368544415555,-0.0982356445256258
9,0,-0.0533234410872869,-0.140823602842876,-0.230747199251487,-0.25416362237278,-0.296728785108318,-0.239379664509517,-0.329878482581109,-0.232341016413642,-0.0923794983479166,-0.0964089278609117
10,0,-0.0622223391059762,-0.196967872762183,-0.210082489125405,-0.266237173307724,-0.337948214157352,-0.371647795154414,-0.361831265736598,-0.249476480259101,-0.0858690586498423,-0.112277532622513
11,0,-0.0484001959433451,-0.0954565877103439,-0.233298896525261,-0.229701378685801,-0.269878573900935,-0.149149809245234,-0.307941085431603,-0.224120339956868,-0.0618400723480489,-0.077616988039646
12,0,-0.0231771235123066,-0.0745313933291464,-0.20517520933752,-0.218566475348054,-0.252187963511725,-0.158568018782064,-0.284991489611763,-0.208220079731048,-0.0451552456230582,-0.0640813209010033
13,0,-0.04385767534587,-0.0957460806812255,-0.236094456464507,-0.243547646948304,-0.268282533597254,-0.182031428097447,-0.302519351673915,-0.220207873187274,-0.0831846514370251,-0.081866436646886
14,0,-0.0361299698620662,-0.0972365864807885,-0.244125328690749,-0.249099771392849,-0.263966293988784,-0.189491921387315,-0.305318142245377,-0.22622593266483,-0.105442278190984,-0.0892661963635089
15,0,-0.0478025459419253,-0.147804387006669,-0.229854932837817,-0.258826134060078,-0.299919423226876,-0.276592337030335,-0.341995194818778,-0.244124105772468,-0.104391057669214,-0.108077048494562
16,0,-0.0318156465291709,-0.158858037943624,-0.194744843582404,-0.242464027998172,-0.295454619148835,-0.320670675383767,-0.351761681992361,-0.253649225835442,-0.0755829037075535,-0.10488310121867
17,0,-0.00257771001506224,-0.0610010180440843,-0.201448608602674,-0.21169223217158,-0.2311214653121,-0.146349265974876,-0.286291549437841,-0.216468226900436,-0.0537207521588704,-0.0685804185798579
18,0,-0.0329859167598834,-0.0851969969961023,-0.215075168418361,-0.220617197058383,-0.261103949603748,-0.160165801753341,-0.303133768629582,-0.222710434395673,-0.058719809908225,-0.0760150907157792
19,0,-0.0363583705167642,-0.0941244985968672,-0.238977585936131,-0.245733091618244,-0.265156733396243,-0.204542783089999,-0.311002974632969,-0.230130087106891,-0.0981637701819583,-0.0928745314537677
20,0,-0.0358213050881308,-0.100326351535728,-0.247227973365674,-0.247455008716532,-0.264628372951505,-0.195670415811663,-0.317932059610421,-0.239563394019891,-0.113860526564581,-0.100113790169472
21,0,-0.0454403457552927,-0.148206333751071,-0.228262298832236,-0.255203086399283,-0.295544885818244,-0.278323440491109,-0.351920664982183,-0.256564805994439,-0.109770743352009,-0.117268894502122
22,0,-0.0171293481449374,-0.160621606302215,-0.160429928674147,-0.214176319837231,-0.268384379162658,-0.243990094193564,-0.365157543092237,-0.262043741331529,-0.0635212494491016,-0.104116884971486
23,0,-0.0546770879507732,-0.103848023717883,-0.232106169138468,-0.227905177072519,-0.27604353859119,-0.163939292267742,-0.319440607030734,-0.234046727272537,-0.0700708714249116,-0.0873120693643273
24,0,-0.0165164241737539,-0.0706605335177025,-0.196088117650923,-0.209228844722624,-0.245509806153555,-0.178616410705949,-0.292708973142412,-0.216770510750497,-0.0511486077410864,-0.074517832759539
25,0,-0.0452421230218754,-0.0983699412191653,-0.231654229340646,-0.237900241456636,-0.270524825554101,-0.200496981959493,-0.317257961519783,-0.233519315651988,-0.0863147323058941,-0.0938177564840987
26,0,-0.0371044064974732,-0.0975432812110473,-0.241623264731691,-0.244123617162512,-0.264915497301126,-0.210232529348358,-0.322311935833739,-0.242473096130002,-0.106520210523483,-0.103253582880691
27,0,-0.0372129001762546,-0.104286086177401,-0.250578860398245,-0.246480123563473,-0.264705507543694,-0.201443538479632,-0.329320776814372,-0.252227644880788,-0.122462602087092,-0.111046261063519
