Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1,0,-0.0405346673219587,-0.106167090606583,0.0328871631685097,0.0731964172917783,-0.0291681919442388,0.00977995052135072,-0.109189755670499,-0.0092599758816122
2,0,-0.0905434421459885,-0.11128805135796,0.0225131232912048,0.0835435772368909,-0.00841126918220558,0.0277729158445461,-0.0855720090561088,0.0113438791711193
3,0,-0.0532701512042449,-0.135003285853418,0.0214766045906105,0.0567523444746227,-0.0215385386792681,0.014265787521855,-0.104263563254692,-0.00799180753087458
4,0,-0.129136948787986,-0.0998047806936331,0.0462564987918712,0.130881413101281,0.0329271405260105,0.0681055017886827,-0.0748429655866771,0.0159629744216891
5,0,-0.116209734015201,-0.0796147966487917,0.0340393825620984,0.125052458093451,0.0103452131472808,0.0487791019945834,-0.0538294505945162,0.0439389948352114
6,0,-0.122474326386553,-0.0852377352488435,0.0277843251315735,0.129811240111124,0.0175617550672822,0.0525511059940102,-0.0224804516847265,0.0738621642609587
7,0,-0.088598380599626,-0.103403973242481,0.0355602495860106,0.0777325878608082,-0.00960658090137378,0.0166623657037135,-0.0958502581496925,-0.0170662559186823
8,0,-0.0867919843843169,-0.153319211721412,0.0198623806819902,0.0568985507198398,0.00136626601446954,0.0350083161328281,-0.0691098345719939,0.0171340428799009
9,0,-0.116664505261087,-0.127051007868704,0.0340317968469297,0.0901396535602659,0.0252620050023766,0.0430138798880513,-0.0357153091575471,0.0343486812432179
10,0,-0.134499855361391,-0.136735162989707,0.0228660025378611,0.10871068918987,0.0392211142533079,0.0616203603874836,-0.0109945430865389,0.0707809216833959
11,0,-0.135942920554613,-0.133460596811723,0.0204309548097468,0.0757710149337889,0.0139406928032511,0.0405448309664713,-0.0310575515824163,0.0474153692734827
12,0,-0.162293272796326,-0.143699941696859,0.0168250705640494,0.0859395268035583,0.0390033930969855,0.0558625893311357,-0.0178425158415554,0.0590484368484101
13,0,-0.010184480970667,-0.0973824236464593,0.0152102743506137,0.0432717711013433,-0.0186803024403235,-0.0145171294473737,-0.0703860912012184,-0.0075386306903199
