% RR interval,RV pressure (mmHg)
0,6.9529
1.51,11.011
2.21,10.2
2.76,11.823
2.91,9.1561
3.99,13.156
4.96,19.012
5.01,18.084
5.06,17.157
5.11,16.229
5.16,15.302
5.21,14.374
6.7,20.288
7.3,23.534
7.35,22.607
7.4,21.679
8.54,24.462
9.59,29.1
9.64,28.172
9.69,27.245
9.74,26.317
10.73,31.883
10.77,31.11
10.83,29.989
11.99,32.463
13.86,33.709
14.71,34.735
20.93,34.666
24.86,33.854
32.21,33.468
36.58,32.55
41.83,31.129
44.49,29.796
45.85,28.752
45.9,27.825
47.25,26.82
48.6,25.737
50,23.766
50.05,22.839
51.4,21.911
51.45,20.983
52.8,19.94
54.15,18.896
54.2,17.969
54.25,17.041
54.3,16.171
56.96,14.925
59.29,11.746
59.61,13.794
59.66,12.867
61.98,9.8131
62.36,10.895
64.74,6.837
65.05,8.9241
65.1,7.9965
67.81,5.9093
69.24,3.397
70.01,5.059
71.27,4.0541
76.91,5.0977
79.42,6.5761
83.26,7.4167
87.08,8.4603
94.39,9.0208
