Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
1,0,0.0289303297268415,0.0040709613287635,-0.201432227359032,-0.243967884597858,-0.250439449266478,-0.348429887951567,-0.316590855499581,-0.216874435990613,-0.184415764807109,-0.0881416733389213
2,0,0.0117501507320421,0.0195847172947532,-0.23901563990139,-0.223130112236083,-0.366302130559579,-0.355236019322779,-0.286710819943052,-0.21775859727957,-0.148909154530352,-0.0387780990990435
3,0,0.0307662850751746,0.0461073655585971,-0.217139483688165,-0.210638500720446,-0.364475979596676,-0.32527171170223,-0.289362164075157,-0.197554866657302,-0.168144593011581,-0.067998103140342
4,0,0.0300793531892349,-0.0342524894170054,-0.188391809585145,-0.264277697077894,-0.178232552333611,-0.35652420124088,-0.34196468192735,-0.2427728297177,-0.182670381873143,-0.0759655128418282
5,0,0.034481659628979,0.0412027476342165,-0.213773232819889,-0.214366233907224,-0.356114106786851,-0.325452753612821,-0.298226141871557,-0.196735373766278,-0.172451716839431,-0.0820921194030907
6,0,0.0136523562129771,0.0245122928381076,-0.242121342417394,-0.237545648808827,-0.395582686189388,-0.351512366192279,-0.304866098565853,-0.216315794996526,-0.168589885760576,-0.08269815324991
7,0,0.0132673563660328,0.0185362920098984,-0.232437078623238,-0.241029106009034,-0.295118923980512,-0.344133708299549,-0.317655999790833,-0.224721156120304,-0.171616038517376,-0.0600604465743233
8,0,0.0535227456588305,-0.00542827286150815,-0.156739533163921,-0.239201811384518,-0.11597717887346,-0.304238845645847,-0.338797587742135,-0.221094389967081,-0.194246305523642,-0.0718631160101616
9,0,0.0302493723872641,0.0247026269983099,-0.237138941623348,-0.242844423654672,-0.379431290011209,-0.348298479629687,-0.314115131133922,-0.219187583589202,-0.168363191960832,-0.091711177234289
10,0,-0.00157872099942669,0.0189579194244092,-0.274821356652293,-0.257207777890761,-0.445269661212101,-0.369096614247815,-0.309106832613117,-0.236071809170999,-0.159995812929974,-0.0749596914588926
11,0,0.0848332121663067,0.0560691023559894,-0.175282282755775,-0.200411937796931,-0.307133419319331,-0.318756176824113,-0.327164208484774,-0.20668934530287,-0.155646412839992,-0.0628521978109582
12,0,-0.0187145071395163,0.0113516086296579,-0.289154118893443,-0.262645688951827,-0.477006831073249,-0.377758216654704,-0.314906470041926,-0.237042821132986,-0.161166557780737,-0.0835205052542571
13,0,0.0239128446244039,0.0549831664469649,-0.242436752854761,-0.205146663437984,-0.422517065383749,-0.328042424912149,-0.315934203897081,-0.211868975689732,-0.154672799196653,-0.0407345772857434
14,0,0.0119331876733293,0.0219365246151018,-0.242627337657928,-0.238757245468577,-0.291538318201118,-0.339581898611948,-0.330523622164031,-0.235456777770403,-0.171246599356649,-0.0485187111189092
15,0,0.0554711294576333,-0.00162767654324125,-0.150564628059139,-0.232246818206468,-0.0982455688035687,-0.290517549228494,-0.340773872675135,-0.218707152536011,-0.198596876920108,-0.0768703130419243
16,0,0.0659587507724524,0.0658721913812699,-0.202704328274324,-0.195296021169208,-0.354651241220121,-0.312795414438277,-0.332334686286585,-0.206620969422192,-0.148534401090314,-0.0415602173573826
17,0,0.0626747329371673,0.0435767040510064,-0.203732921798256,-0.215083159987362,-0.347570338543152,-0.333361934065557,-0.34176282153097,-0.221207372011387,-0.149071394074627,-0.0618821016254649
18,0,0.0256011918702121,0.0617590041644724,-0.261738890577534,-0.208623333454484,-0.460947761873857,-0.328538332022486,-0.331489510285971,-0.224997158627784,-0.146294087479949,-0.0281924176236937
19,0,0.0250833861791457,0.062697815333856,-0.257256959695074,-0.197362864622175,-0.454728942839871,-0.322354592078896,-0.329655106879855,-0.217969257139754,-0.149810679712262,-0.024791257595524
20,0,0.0316114582284981,0.0251192456898877,-0.24364401664878,-0.243045195868496,-0.247154494641599,-0.32618832384593,-0.302369165836531,-0.232092693638183,-0.169732589017539,-0.054787609332697
21,0,0.0657404879314747,0.024132609472945,-0.174069691902877,-0.233742538444249,-0.120864725578583,-0.272280786887557,-0.260058230123185,-0.190870486448458,-0.177463949986885,-0.0879605359837261
22,0,0.0661086986579775,0.0618808972403797,-0.205354862453277,-0.194252727467433,-0.350477235216485,-0.307726783799728,-0.340118148454207,-0.204787624207856,-0.147562374702667,-0.0436725855071584
23,0,0.049221656339697,0.0269268320798266,-0.230018202599141,-0.235404298062212,-0.369150570817868,-0.3389981524954,-0.339166267981556,-0.228365774797548,-0.15517428536138,-0.0818362733421185
24,0,0.0294282354993118,0.0577099668896739,-0.26312460889241,-0.207571190337521,-0.462368824149782,-0.326467230526708,-0.342978090151682,-0.227078425326379,-0.147619694670369,-0.0322367393745304
25,0,0.033217969134542,0.0436919919216452,-0.251795920961562,-0.220970800456636,-0.339283265475814,-0.319547764917309,-0.324243742981048,-0.229156418392481,-0.160263752717669,-0.0457320488227785
26,0,0.0625931189000717,0.0211894034603111,-0.177100286172677,-0.232831279747882,-0.104742991127401,-0.271283412389855,-0.285445845074699,-0.206504797579601,-0.18239622166056,-0.0849495961443972
27,0,0.0336383297270988,0.0100959217628731,-0.246384852056989,-0.25154597503335,-0.37863778069473,-0.344489948378503,-0.332135256728055,-0.226698866199772,-0.159400027136134,-0.100226582255047
28,0,0.0408576523237771,0.0144710472826963,-0.250422986983198,-0.254730078135951,-0.3932883314349,-0.347871010450911,-0.342147776223174,-0.242605438122034,-0.154991866389292,-0.095295516397202
29,0,0.0326535184392589,0.0391153251848153,-0.254481768044811,-0.223704930809835,-0.432738161597232,-0.334394237592061,-0.349069363875489,-0.230298703056604,-0.148031908363782,-0.056214482065755
30,0,0.0322294102990612,0.0526674596842365,-0.264007333317929,-0.206306111755552,-0.461298143702895,-0.322723259102164,-0.352608664377856,-0.227274569157328,-0.148515470653488,-0.0366098548781711
31,0,0.0457010312394281,0.0291839198905028,-0.241140554630413,-0.239877830231804,-0.232067091071912,-0.309562455678086,-0.310950645430633,-0.240912621529307,-0.175459482033812,-0.0715016671173673
32,0,0.0749878274433653,0.0280231835419282,-0.178975079484562,-0.23306203858229,-0.104831024154616,-0.252344261846682,-0.257189856287504,-0.196978786075998,-0.182286049942042,-0.106159183142435
33,0,0.0330106613814292,0.000801075083258551,-0.249026725600652,-0.258980920713921,-0.379294538461889,-0.347588565804544,-0.337884062198044,-0.232182723793344,-0.153595626197704,-0.105281237823882
34,0,0.0439214120640874,0.00801870032491436,-0.247621734065591,-0.258838465041153,-0.39096900802051,-0.347457781252569,-0.348638448473685,-0.247451196353795,-0.148759378409052,-0.10093072079051
35,0,0.0363361172327918,0.0333678037910059,-0.253126086311771,-0.229368278083396,-0.429051726431983,-0.334245937175907,-0.358151797473246,-0.235281416365558,-0.142699038842681,-0.0627547863727085
36,0,0.0370554561450858,0.0475050908013548,-0.264351910606653,-0.213459469766447,-0.460424823095542,-0.322716760874788,-0.363299505307742,-0.233062215088479,-0.14461880370964,-0.0446084162837335
37,0,0.0676242955301576,0.0470028881002034,-0.258585228606641,-0.228181374095033,-0.296265723624329,-0.299837321295314,-0.298498884986579,-0.235203706417751,-0.16116707352446,-0.0657806556705206
38,0,0.090695320477723,0.0382907189807935,-0.207269950732729,-0.233380341474702,-0.12426992120035,-0.255353879559162,-0.241681625742559,-0.210451991516304,-0.176439467621008,-0.0967815125134981
39,0,0.0519129008373174,-0.00540715881848985,-0.248715477248949,-0.245958763616814,-0.396782847970841,-0.362028078146455,-0.332165592212538,-0.230767311833094,-0.117063626670114,-0.0929933918256544
40,0,0.0738055906005119,0.030716059465083,-0.219512597667854,-0.219257367568931,-0.380424855411238,-0.328988297436461,-0.358420749283803,-0.229924753048198,-0.112890498281621,-0.0742623229041652
41,0,0.0699085766354295,0.029712789073006,-0.25543824417395,-0.221864272694811,-0.441550653468069,-0.338927363609779,-0.339050282918012,-0.233089166151112,-0.115763542347044,-0.0610778428453872
42,0,0.0588872042346804,0.0424624616091576,-0.248248695105599,-0.208485812461785,-0.417099924422518,-0.310913414330911,-0.352713634016615,-0.218139041931773,-0.12999963124773,-0.0498900127847038
43,0,0.0790574652049496,0.0468447824089442,-0.256733985800213,-0.229103444681818,-0.294315936138092,-0.293171098597291,-0.304272572963892,-0.241887340162659,-0.159609090764029,-0.0757058083791734
44,0,0.081367207712516,0.0342807676474881,-0.236183548321617,-0.237474169766282,-0.181721813000027,-0.279200859133013,-0.278443820771171,-0.246571806327434,-0.179347188821818,-0.0939841961127201
45,0,0.0807899317541663,0.0408398946128714,-0.231274290784151,-0.204691410205942,-0.420198031481616,-0.325892911912876,-0.368287932506546,-0.236508351566069,-0.106937573050288,-0.0570150542357261
46,0,0.07915443866947,0.0331474282832687,-0.230527885594906,-0.198734313733721,-0.384087215335152,-0.31128764828855,-0.359535478810048,-0.215956049002834,-0.115513765370705,-0.0529707903855463
47,0,0.0919599338054704,0.0388375438241355,-0.21915321003105,-0.20722673732599,-0.243517565688696,-0.276218073875528,-0.310337666662429,-0.207384404636121,-0.141185394091666,-0.0714141259681723
48,0,0.0813652548210757,0.0370202768474068,-0.255015224472319,-0.225989257595278,-0.286294136637954,-0.291327956774573,-0.314018837623902,-0.246939911295553,-0.165195759423274,-0.0863850739960228
49,0,0.0616334549522704,0.0256997640512284,-0.239014369245138,-0.207963475853486,-0.354684491785772,-0.303284015488357,-0.367462310878462,-0.231156632504829,-0.142061012452113,-0.0704122777345257
50,0,0.00693793102195284,0.0157109584775126,-0.227619235554383,-0.240568348851557,-0.364715780177756,-0.345834416305438,-0.260767483788432,-0.19549144872126,-0.160451856426892,-0.0764671881082987
51,0,-0.0341775400258573,0.00553663879004596,-0.267116525792584,-0.254923108774892,-0.396738922272757,-0.350795606602514,-0.235685035827559,-0.19096809377166,-0.141838569470681,-0.0565374219656702
52,0,0.0437970258985703,0.0386697608793416,-0.198762691747648,-0.217456731039174,-0.350492716842449,-0.326300502787263,-0.260939203454579,-0.194767518396791,-0.133506618793205,-0.0390489533018783
53,0,-0.0568471667458605,-0.021978028042539,-0.290424387750426,-0.290356588772364,-0.37522875751499,-0.389623088783516,-0.265024193254514,-0.21746922049006,-0.149990964965974,-0.0717038101244858
54,0,-0.0436657503006402,0.0021628564192111,-0.271402956386385,-0.253344323960378,-0.388601927727202,-0.36199796798587,-0.242421114328586,-0.197585684529611,-0.135900248737655,-0.0413128844350508
55,0,-0.0181841222829312,0.000275288628634573,-0.24137974648426,-0.249817520917198,-0.344732459209495,-0.359427289643367,-0.263334679049808,-0.201470110565344,-0.157881713370124,-0.069549152365618
56,0,0.0209531961877985,0.0387582105683313,-0.193059604744869,-0.197993151775609,-0.336160009267436,-0.316678875950662,-0.25362663492209,-0.175103833816749,-0.166201837988151,-0.0671262935117876
57,0,-0.0204717662991349,0.0231396903299614,-0.238684505159562,-0.216189064755152,-0.380783577094806,-0.335642858633185,-0.234340324556364,-0.179761389930544,-0.149161809910964,-0.0513685719890238
58,0,-0.0401062145943087,-0.0151087015504539,-0.264411368534549,-0.258342986149468,-0.36296927194183,-0.379877725430984,-0.270860441739937,-0.212696059170112,-0.162391238347124,-0.0680573861774967
59,0,-0.029258286866228,-0.0574098481916725,-0.251789800993143,-0.282950484519258,-0.300067506790287,-0.397349543738075,-0.280117508065381,-0.227400622644778,-0.15130894398286,-0.0502105607559532
60,0,0.0211399807000721,-0.0548500823861677,-0.192730823655352,-0.269782416636079,-0.211136762848185,-0.369111509523123,-0.316510883970768,-0.233805104671647,-0.169814199598548,-0.0542865597763978
61,0,0.0498105550305565,0.060780923940835,-0.190376525799218,-0.199584711732794,-0.351756630388177,-0.317342172114139,-0.273647518927327,-0.194201957767494,-0.142063594303162,-0.0307552453187239
62,0,0.100376290380451,0.0621826936174994,-0.134619212586278,-0.182773797812626,-0.293700873334244,-0.312985666194104,-0.296637075299999,-0.195830089923488,-0.14902738120152,-0.0447306662833541
63,0,-0.019853311675422,0.0251146752748304,-0.267856167658285,-0.246655345737609,-0.395454010933436,-0.352057611721894,-0.268377438538132,-0.210977950982203,-0.14237845023068,-0.0387932862419488
64,0,-0.031460340416854,0.021903489094405,-0.272781907518177,-0.239889551366365,-0.435530574330856,-0.360186695860874,-0.267065473873197,-0.207455488882169,-0.153350038526485,-0.0574602180801281
65,0,0.0072168423525556,0.0511115252058973,-0.228565397649987,-0.196714901148277,-0.394106482296047,-0.325029704461783,-0.266112897706369,-0.192328786057575,-0.148937491682091,-0.0291601917879691
66,0,-0.00502815416724689,0.00446435659665623,-0.240709826048563,-0.240384868056279,-0.305637506163734,-0.353051309683058,-0.286324391075535,-0.215688707200807,-0.153306342396081,-0.0255665782873549
67,0,0.0464734487862553,-0.027298619003543,-0.154012853742712,-0.240814523484031,-0.149419680740961,-0.320352009222466,-0.317992705421297,-0.213998867397545,-0.178151820612206,-0.0436284382240207
68,0,0.054169328110828,0.0623376087670977,-0.193434633070346,-0.199358979216158,-0.356555591815368,-0.321741743897992,-0.2899700351815,-0.202831270932905,-0.144836390287477,-0.0320471118989062
69,0,0.0615274548046172,0.0262838179247487,-0.186979596380207,-0.225251851937223,-0.317479319581097,-0.337310518820777,-0.295723606327677,-0.213890536516616,-0.157355891605737,-0.0754637786248519
70,0,0.00401646140147616,0.0568438928607817,-0.256900132081374,-0.21499152698992,-0.435496166407068,-0.335409594736243,-0.280637251617576,-0.21209137504549,-0.138246116758798,-0.0166266085627924
71,0,0.0052105937019109,0.0587174692746366,-0.251885228905157,-0.203719885616164,-0.431156447410505,-0.3320605569975,-0.280909990880515,-0.20809414156102,-0.141789398725363,-0.0141842923709973
72,0,0.00877044892450884,-0.00166985848477297,-0.246363470382779,-0.248845543197558,-0.282590145756782,-0.356857637792205,-0.269303111462776,-0.217207349175197,-0.139377417491552,-0.0172772636288449
73,0,0.0481790049249959,0.00557942173294235,-0.160436865669583,-0.228760833493835,-0.153945023082185,-0.294295690222537,-0.246166493375683,-0.176704996271132,-0.152288799642635,-0.0471684111582953
74,0,0.0181430598668439,0.0138155439494585,-0.241563157553231,-0.253787166180877,-0.388203673163715,-0.363395948978393,-0.303080315630233,-0.226891839711492,-0.163291108051825,-0.0856123149175638
75,0,0.0689828737275306,0.0183963583849802,-0.181559808013684,-0.233101572094218,-0.262136633915791,-0.326672361993601,-0.301355162753829,-0.217864121616905,-0.161987139383527,-0.0889464003866656
76,0,0.0120366287477494,0.0421017683065237,-0.252276201619642,-0.232058683836892,-0.427831574578624,-0.350681960434102,-0.300901299343364,-0.225232711268033,-0.145925365099996,-0.0412389283998978
77,0,0.0103846605720572,0.0566023801337165,-0.259733457637377,-0.215023081985464,-0.44574939805148,-0.340493581477545,-0.299126124216405,-0.222269369112294,-0.142601531383458,-0.0199490598323625
78,0,0.0655979346892053,0.00518076923403821,-0.155167043884395,-0.215352453128923,-0.173862751926366,-0.30163465109589,-0.280336349874132,-0.195142316720853,-0.151305801382876,-0.0401419534057148
79,0,0.0164901969780222,-0.00744413900568708,-0.2226943637242,-0.279069398726377,-0.286759197256564,-0.374225844106266,-0.323565687679451,-0.253873029050162,-0.155430464505782,-0.0984864507799293
80,0,-0.0113587296859552,-0.0147663949874486,-0.245748021038911,-0.291369832434169,-0.317178679889443,-0.378459142342766,-0.312622776002096,-0.259574088389551,-0.140195895479721,-0.077068992354818
81,0,0.0484398403667985,0.025317973477949,-0.220855993356687,-0.252384240335916,-0.388067790768416,-0.364472430452632,-0.327489271411039,-0.247804465970679,-0.137550616118085,-0.0715554367565394
82,0,0.0350232595173035,0.0119212083455587,-0.18640711088154,-0.248397985429606,-0.24352310893944,-0.350594040713712,-0.325270672834179,-0.241587590224651,-0.146306805641189,-0.0751414341570912
83,0,0.0606823000378125,0.0598569589079372,-0.203422372127458,-0.208431505512488,-0.368010469275554,-0.332635516720508,-0.319587900180421,-0.220691261894695,-0.144051055932343,-0.0396977753938383
84,0,0.0979635997342758,0.0267946067883722,-0.100765929178197,-0.184039512147406,-0.109467360318211,-0.251658764270806,-0.313295318226406,-0.178241238412362,-0.18120804004464,-0.0602050695801775
85,0,0.0567756977688714,0.0327442251278334,-0.190736121282695,-0.243737662709511,-0.248590321575868,-0.335749769189392,-0.330039952175004,-0.246842537517178,-0.145300580985765,-0.071799425573236
86,0,0.0458886835998911,0.0165798458370816,-0.228586424009538,-0.259719103182655,-0.393599008389969,-0.371321746576179,-0.338811410403579,-0.256205841783495,-0.14187279448961,-0.084130643918204
87,0,0.0196367708131355,0.00232130314651657,-0.227491255403739,-0.266323755317409,-0.31202522790739,-0.363390077018798,-0.33109432968973,-0.253190760550664,-0.154094771838591,-0.0895369836419746
