Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1,0,-0.125003626955225,-0.136271219532553,-0.00371450673388996,0.0349619513990165,0.0306695278063613,0.0181670252773345,-0.0163896098893291,0.0122143384607618
2,0,-0.150498718442856,-0.144288797775093,0.00227025421577376,0.0202786656567648,0.031303869622612,0.00481192265515107,0.0101371629014182,0.0121638408604545
3,0,-0.162707860005704,-0.159210083078443,-0.00471197576260152,0.000181995336328677,0.0168076878165879,-0.00588278677629406,-0.00353388195977322,0.0270024771320763
4,0,-0.152105876440746,-0.175090924909037,-0.0335881386683156,0.0237512757427265,0.0431654780964355,0.00553467942469288,-0.0107556095066933,-0.000542478793747803
5,0,-0.153640473032568,-0.187545735384974,-0.0477574083428859,0.00889444257851713,0.0492748751320036,0.00983397092347915,-0.0273225953214344,0.0103059819390205
6,0,-0.0379889429273045,-0.0686976375533094,-0.00575197982599274,0.0295194237008507,0.0167347690036979,-0.00658851727502474,-0.00258878971216359,-0.00467816297437385
7,0,-0.0580352849548553,-0.0944100392444778,-0.0142567955315612,0.0443666918562153,0.0295540238940635,0.0123622753888148,0.00434435894662277,-0.0138646692323469
8,0,-0.0500108119967635,-0.080007184524078,-0.00110859680395947,0.0219330449855573,0.0212146523706345,-0.00571005540877878,-0.00513885096409938,-0.00677306056433946
9,0,-0.0953762767021286,-0.126773912276177,-0.0252920645043843,0.0262629632188989,0.0359338791016595,0.00948177683898144,-0.00198965659800643,-0.0353487148498173
10,0,-0.0786430596848335,-0.117444877317345,-0.0307480624306607,0.0368618318665948,0.0260087936963131,0.0168160955762962,-0.00577053694569873,-0.0337453087422795
11,0,-0.083395236140705,-0.1211083458768,-0.0421836888464532,0.0270962174623242,0.0213667406234257,0.00887534293376113,-0.00813617116460474,-0.0443689004728723
12,0,-0.0902303166929682,-0.131952479987132,-0.00526594470185981,0.000732004150265642,0.0528819109997465,0.00021851683359797,-0.0290737162660548,0.00296206524080622
13,0,-0.0788012115428696,-0.116429168081336,0.015263528141731,-0.0335301813104208,0.0462345441438248,-0.019044553943362,-0.0134883144850415,0.0029089142035692
14,0,-0.0806489085593459,-0.115851242668727,-0.00856673269683417,-0.0760644774862808,0.0264209111468163,-0.0393623329896606,-0.0409783472050181,0.00211000756392732
15,0,-0.120408742628611,-0.162467999509043,-0.0256464497328567,0.00159366989806076,0.0769212944516648,0.0229384510605966,-0.0215162910744069,-0.0151725559974923
16,0,-0.0588117802533965,-0.0829507800870275,0.00837236279671782,0.0171122744855894,0.028161448052187,-0.00758499505548826,0.00137536796353177,0.00745820702280087
17,0,-0.0517764340648897,-0.0827240655539214,-0.00397138550019782,0.0361862836041893,0.0330464219891431,0.00651443816922015,0.00263437057516813,-0.00197183518703792
18,0,-0.0517437442567534,-0.0781908123953118,-0.0160619617205768,0.00318773365226654,0.0285632059621836,0.00354294934706001,-0.0273053730255689,-0.0123897971790405
19,0,-0.0860884692160178,-0.109784415164028,0.00692976750134333,0.0286639692548116,0.0405383233511616,-0.000256502997067698,0.012154844071474,0.00272992196489152
20,0,-0.0754199073098288,-0.103138181660183,-0.00977090539846093,0.00903374281896618,0.024156540358135,-0.0167571104960464,-0.000846802171751593,-0.00385610733533537
21,0,-0.0929556863629288,-0.122120125799435,-0.0295138453658358,0.0185796625577646,0.0298530436452051,-0.00537998819705721,0.000747803574056016,-0.0272380942331816
22,0,-0.0702905105929746,-0.101875822497377,-0.0293456023298679,0.0391910523753651,0.0183192230509508,0.0021663235295788,0.00667319819898227,-0.019501198262927
23,0,-0.0961300056030349,-0.145447062220535,-0.0765268759420713,0.0335693813739626,0.0250136447793794,0.00378108810411559,-0.0149931326255144,-0.0507618000105873
24,0,-0.0842709837162486,-0.141968308911117,-0.0691566372941019,0.00462758403373442,-0.00350645572440467,-0.0114898887120664,-0.0346684007865725,-0.0444193899564931
25,0,-0.0998501311146952,-0.151109482315239,-0.0969170728426171,0.0195307043648438,0.0185976377335557,-0.000188690959101678,-0.0450481322789484,-0.0657200821773145
26,0,-0.123265046444232,-0.164270982334252,-0.0173143153488186,-0.0317272735588471,0.062861484229177,-0.00232488295896471,-0.0314909222932568,-0.000480741347264946
27,0,-0.0778214671234938,-0.099892782163952,-0.000779915942360598,-0.0205786058508073,0.0193724737443666,-0.0245638332202976,-0.016413187412634,0.0060826186806775
28,0,-0.0731218793864025,-0.0966818654684106,-0.00889934690496874,0.00604842147841489,0.0353470986032385,0.00794555811174691,-0.0212497199780303,-0.00576190691239076
29,0,-0.107363120508071,-0.128947119594594,-0.00661704992561896,-0.00191563084588353,0.0364267923745591,-0.0189261646901142,0.00323418003660114,0.000775244637647221
30,0,-0.100594612193134,-0.124736063339567,-0.0168681056295575,0.00736717038751467,0.0299434593614065,-0.0176038335579606,0.00423402836526221,-0.00579593524836874
31,0,-0.0917266725038636,-0.119829545086867,-0.0277702835190873,0.0161533727200986,0.0228460032273079,-0.0164420552984746,0.00463110821072465,-0.0129504900800975
32,0,-0.102164899358354,-0.140598482848018,-0.0597091942339221,0.0224407750546667,0.0300069907158074,-0.0129288677507458,-0.00487181036325735,-0.0407744104823764
33,0,-0.103094589457529,-0.145235931566139,-0.0854782467488586,0.0334042758084754,0.0463825262649344,5.33139234855096e-05,-0.0323998520799139,-0.0871377625006268
34,0,-0.0852445041771877,-0.0985436507168114,0.0128834502990494,0.0131828264929921,0.0285732399974934,-0.00320777826588148,0.00426161154229643,0.0174749730822326
35,0,-0.0893927252181215,-0.116857829433758,-0.013007675892925,0.0208150349980751,0.0367148795306096,0.00959014251787149,-0.00864631734190013,0.0145581647260609
36,0,-0.110712584274359,-0.124613380042774,0.00563917499571809,0.00156445438375674,0.0357296220569761,-0.0131933774619951,0.00255721818277599,0.00907007643497604
37,0,-0.120284941337972,-0.136481144305715,-0.00844446030607215,0.00383804837079582,0.0362903136632435,-0.0152214666334897,0.005878897820075,0.00126650856481358
38,0,-0.11298010115579,-0.132096367657215,-0.0186859213216719,0.0131416298866078,0.0299608356912442,-0.0137462723504949,0.00713680645069537,-0.0053319036624101
39,0,-0.103550813130258,-0.126995968375085,-0.0295629723524268,0.0219578222316219,0.0230513145950251,-0.012397031364194,0.00784485363361176,-0.0124993154397064
40,0,-0.126720561631672,-0.170057949866807,-0.0786286930199205,0.0280856431911505,0.0501936093952469,-0.00384046853002562,-0.0128220707705223,-0.0614156252799951
41,0,-0.107924971114445,-0.150060016909545,-0.0791587030379965,0.0344595084324444,0.0542911949528422,0.00366731283049671,-0.0356743241732225,-0.0856169097933072
42,0,-0.0992227560062164,-0.107656397682948,0.0163988396128356,0.00497762910949073,0.0273860374449657,-0.00369594453042221,0.00384233842072934,0.0249587931451032
43,0,-0.0889814702678761,-0.104262027765898,0.00205100157336346,0.00103536379795033,0.030656191122213,0.00928422825144382,-0.0037906784110453,0.0203311462904241
44,0,-0.12678077360667,-0.13484746701274,0.0111703539871855,-0.00434073437410543,0.0376454847962262,-0.0123350881646083,0.00218659464068427,0.0157470369263968
45,0,-0.138881594714376,-0.147962599231776,-0.00153525468522664,-0.00135033385030547,0.0399857436523856,-0.0134951633727521,0.00600664077437663,0.00848515225448732
46,0,-0.133340940165215,-0.144197900172701,-0.0110487301726558,0.00844651790838302,0.034418962841591,-0.0118547241055741,0.00803315376331604,0.00254986163184467
47,0,-0.12554330673714,-0.139650947385144,-0.0212609084501928,0.0177811651095394,0.0282796858450893,-0.0102200317208813,0.00956614898665009,-0.00400113819148962
48,0,-0.127586524017003,-0.152988707645022,-0.0482503244048167,0.0279499243010881,0.0401690274679383,-0.00382693682924218,0.00104345356288804,-0.0294247853216526
49,0,-0.132282194862719,-0.180287132333494,-0.0955857255614858,0.0326667106947469,0.0656252096103946,0.00289336802554807,-0.0288141806535289,-0.0708830655310562
50,0,-0.111767330276395,-0.115858554175846,0.0186175170668166,-0.00446815971052383,0.0237940405119765,-0.00471841678738461,0.0022525994494802,0.0320766011217235
51,0,-0.116863532346707,-0.127568298729486,0.0100058530981735,-0.0234286408271029,0.021489561217696,-0.00919371527623114,-0.00878457702040358,0.0221142895574968
52,0,-0.141361153128637,-0.144431899223873,0.0152178289196354,-0.011676429838242,0.0370581045383611,-0.0119183587460319,0.000581167460354859,0.0222158061571816
53,0,-0.156045972747587,-0.158975522470037,0.0037933983679399,-0.00822404368576268,0.0410696660422307,-0.0123057299493229,0.0047264833731151,0.0155756947251073
54,0,-0.152453259148815,-0.155935099570628,-0.0049426256043944,0.00203822382121865,0.0362432478643084,-0.0106446124673621,0.00741256684886382,0.0103978024651765
55,0,-0.146492542678481,-0.152046448392935,-0.0144295835328353,0.0118642472174189,0.0308612478865735,-0.00886941994601742,0.0096695900484336,0.00456577975616401
56,0,-0.138250823223033,-0.147352314488825,-0.0245930283240112,0.0212373668713093,0.0249463970526893,-0.00706802994087741,0.011489946456223,-0.00186719356932852
57,0,-0.151502654431961,-0.162053463782541,-0.040901335216195,0.0341896529380485,0.0516004773651555,0.0100805988889325,0.00182402414967053,-0.05261814350966
58,0,-0.116861501427901,-0.133499651752177,-0.0436613202207348,0.0478697752111903,0.0547567561807638,0.0270921662962138,-0.0171584445723432,-0.0636345572266546
59,0,-0.134891530146048,-0.136591261289982,0.00240436190671001,-0.0352984026485506,0.0192048031506258,-0.0123828073360198,-0.0133023901730513,0.0298502396202738
60,0,-0.131915905223766,-0.13079840671785,0.0202777919728399,-0.0188158907452737,0.0124034192756244,-0.0116692529592965,-0.0109825616759096,0.0267504680173491
61,0,-0.17146069674419,-0.169289316660074,0.00751268120062365,-0.0167794832441875,0.0396284693267865,-0.0115441670412019,0.00218227220458522,0.0222774088024871
62,0,-0.169975034406454,-0.167084649923131,-0.000415234376699436,-0.00608553954407121,0.0355031820497385,-0.00999913767347926,0.00540442677905251,0.0179351536507
63,0,-0.156787398380962,-0.158164495954881,-0.0187525717473511,0.0165594737806127,0.0264531034926754,-0.00594971070193129,0.0115277049613671,0.0060568237273706
64,0,-0.15107155383108,-0.155149160189487,-0.0286746380371361,0.0234752544993653,0.0200224154104689,-0.00432811522991683,0.0128781546982777,0.000998559176451863
65,0,-0.149812338719233,-0.178191550942314,-0.0644664449997057,0.0350330057003645,0.0592613248263065,0.0083506136978253,-0.00920413124441899,-0.0437356797883106
66,0,-0.104981934407278,-0.132017725705143,-0.0532113750552611,0.0475697537197322,0.0340442201370039,0.0231692205709371,-0.0119339593616118,-0.0267239431134472
67,0,-0.116676310047599,-0.141092136681212,0.0196027284577946,-0.0239123760425348,0.0183982768370632,-0.0159394714335055,-0.035738059532528,0.0269739484823788
68,0,-0.124880575126109,-0.149194452335925,0.0207514014849495,-0.0347512614885769,0.035276927645669,-0.00177939438323349,-0.0177140030233358,0.027098910619753
69,0,-0.0940661659898144,-0.111536819679516,0.0163138242567156,-0.0168234997934117,0.0187185933907124,0.0114481279850986,-0.0427123655422965,0.0239280007203893
70,0,-0.134991524630774,-0.167724831824365,0.025911614939375,-0.00925579250600006,0.0320619624189469,-0.0137709253852821,-0.0325562710079117,0.0230775600481836
