x coordinate,y coordinate,z coordinate
123.75,95.625,33.75
121.875,95.625,35.625
123.75,93.75,35.625
123.75,97.5,35.625
125.625,93.75,33.75
125.625,91.875,35.625
125.625,95.625,33.75
125.625,97.5,33.75
125.625,99.375,33.75
123.75,99.375,35.625
125.625,101.25,33.75
123.75,101.25,35.625
125.625,103.125,35.625
127.5,91.875,33.75
127.5,90,35.625
127.5,93.75,33.75
127.5,95.625,33.75
127.5,97.5,33.75
127.5,99.375,33.75
127.5,101.25,35.625
129.375,90,33.75
129.375,88.125,35.625
129.375,91.875,33.75
129.375,93.75,33.75
129.375,95.625,33.75
129.375,97.5,33.75
129.375,99.375,33.75
129.375,101.25,35.625
131.25,90,33.75
131.25,88.125,35.625
131.25,91.875,33.75
131.25,93.75,33.75
131.25,95.625,35.625
131.25,97.5,35.625
131.25,99.375,35.625
133.125,90,33.75
133.125,88.125,35.625
133.125,91.875,35.625
133.125,93.75,35.625
135,88.125,33.75
135,86.25,35.625
135,90,33.75
135,91.875,35.625
136.875,88.125,33.75
136.875,86.25,35.625
136.875,90,33.75
136.875,91.875,35.625
138.75,88.125,35.625
138.75,90,35.625
120,95.625,35.625
118.125,95.625,37.5
120,93.75,37.5
120,97.5,35.625
118.125,97.5,37.5
120,99.375,35.625
118.125,99.375,37.5
120,101.25,37.5
121.875,93.75,35.625
121.875,91.875,37.5
121.875,97.5,35.625
121.875,99.375,35.625
121.875,101.25,35.625
121.875,103.125,37.5
123.75,91.875,37.5
123.75,103.125,35.625
123.75,105,37.5
125.625,90,37.5
125.625,103.125,37.5
127.5,90,37.5
127.5,101.25,37.5
129.375,88.125,37.5
129.375,97.5,37.5
129.375,99.375,37.5
131.25,88.125,37.5
131.25,93.75,37.5
131.25,95.625,37.5
133.125,90,37.5
133.125,91.875,37.5
135,88.125,37.5
135,90,37.5
135,86.25,37.5
136.875,84.375,37.5
136.875,90,37.5
138.75,86.25,35.625
138.75,84.375,37.5
138.75,88.125,37.5
140.625,86.25,37.5
116.25,95.625,37.5
114.375,95.625,39.375
116.25,93.75,39.375
116.25,97.5,37.5
114.375,97.5,39.375
116.25,99.375,37.5
114.375,99.375,39.375
116.25,101.25,39.375
118.125,93.75,37.5
118.125,91.875,39.375
118.125,101.25,37.5
118.125,103.125,37.5
116.25,103.125,39.375
118.125,105,39.375
120,91.875,37.5
120,90,39.375
120,103.125,37.5
120,105,39.375
121.875,90,39.375
121.875,105,39.375
123.75,90,37.5
123.75,88.125,39.375
123.75,103.125,39.375
125.625,88.125,37.5
125.625,86.25,39.375
125.625,103.125,39.375
127.5,86.25,37.5
127.5,84.375,39.375
127.5,88.125,37.5
127.5,99.375,39.375
127.5,101.25,39.375
129.375,86.25,37.5
129.375,84.375,39.375
129.375,88.125,39.375
129.375,90,39.375
129.375,95.625,39.375
129.375,97.5,39.375
131.25,86.25,39.375
131.25,90,39.375
131.25,91.875,39.375
131.25,93.75,39.375
135,84.375,39.375
136.875,82.5,39.375
135,86.25,39.375
136.875,88.125,39.375
138.75,82.5,39.375
138.75,86.25,39.375
140.625,84.375,39.375
110.625,99.375,39.375
108.75,99.375,41.25
110.625,97.5,41.25
110.625,101.25,39.375
108.75,101.25,41.25
110.625,103.125,41.25
112.5,95.625,39.375
110.625,95.625,41.25
112.5,93.75,41.25
112.5,97.5,39.375
112.5,99.375,39.375
112.5,101.25,39.375
112.5,103.125,39.375
112.5,105,41.25
114.375,93.75,39.375
114.375,91.875,41.25
114.375,101.25,39.375
114.375,103.125,39.375
114.375,105,41.25
116.25,91.875,41.25
116.25,105,41.25
118.125,90,39.375
116.25,90,41.25
118.125,88.125,41.25
118.125,105,41.25
120,88.125,39.375
120,86.25,41.25
120,105,41.25
121.875,88.125,39.375
121.875,86.25,41.25
121.875,103.125,41.25
123.75,86.25,39.375
123.75,84.375,41.25
123.75,103.125,41.25
125.625,84.375,41.25
125.625,101.25,41.25
127.5,82.5,41.25
127.5,88.125,41.25
127.5,90,41.25
127.5,95.625,41.25
127.5,97.5,41.25
127.5,99.375,41.25
129.375,82.5,41.25
129.375,86.25,41.25
129.375,91.875,41.25
129.375,93.75,41.25
131.25,84.375,41.25
136.875,84.375,41.25
136.875,86.25,41.25
138.75,84.375,41.25
106.875,97.5,41.25
105,97.5,43.125
106.875,95.625,43.125
106.875,99.375,41.25
105,99.375,43.125
106.875,101.25,41.25
105,101.25,43.125
106.875,103.125,43.125
108.75,95.625,41.25
108.75,93.75,43.125
108.75,97.5,41.25
108.75,103.125,41.25
108.75,105,43.125
110.625,93.75,41.25
110.625,91.875,43.125
110.625,105,43.125
112.5,91.875,41.25
112.5,90,43.125
112.5,106.875,43.125
114.375,90,43.125
114.375,106.875,43.125
116.25,88.125,43.125
116.25,106.875,43.125
118.125,86.25,41.25
116.25,86.25,43.125
118.125,84.375,43.125
118.125,105,43.125
120,84.375,43.125
120,105,43.125
121.875,84.375,41.25
121.875,82.5,43.125
121.875,103.125,43.125
123.75,82.5,43.125
123.75,101.25,43.125
125.625,82.5,43.125
125.625,88.125,43.125
125.625,90,43.125
125.625,99.375,43.125
127.5,80.625,43.125
127.5,88.125,43.125
127.5,91.875,43.125
127.5,93.75,43.125
127.5,95.625,43.125
127.5,97.5,43.125
129.375,80.625,43.125
129.375,84.375,43.125
129.375,86.25,43.125
131.25,82.5,43.125
90,106.875,43.125
88.125,106.875,45
90,105,45
90,108.75,45
91.875,106.875,45
99.375,101.25,43.125
97.5,101.25,45
99.375,99.375,45
99.375,103.125,45
101.25,97.5,43.125
99.375,97.5,45
101.25,95.625,45
101.25,99.375,43.125
101.25,101.25,43.125
101.25,103.125,43.125
101.25,105,45
103.125,95.625,43.125
103.125,93.75,45
103.125,97.5,43.125
103.125,99.375,43.125
103.125,101.25,43.125
103.125,103.125,43.125
103.125,105,45
105,95.625,43.125
105,93.75,45
105,103.125,43.125
105,105,45
106.875,93.75,43.125
106.875,91.875,45
106.875,105,45
108.75,91.875,43.125
108.75,90,45
108.75,106.875,45
110.625,90,43.125
110.625,88.125,45
110.625,106.875,43.125
110.625,108.75,45
112.5,88.125,45
112.5,108.75,45
114.375,88.125,43.125
114.375,86.25,45
114.375,108.75,45
116.25,84.375,45
116.25,106.875,45
118.125,82.5,45
118.125,105,45
120,82.5,45
120,105,45
121.875,82.5,45
121.875,103.125,45
123.75,82.5,45
123.75,90,45
123.75,99.375,45
123.75,101.25,45
125.625,80.625,45
125.625,86.25,45
125.625,88.125,45
125.625,91.875,45
125.625,95.625,45
125.625,97.5,45
127.5,80.625,45
127.5,86.25,45
127.5,93.75,45
129.375,82.5,45
129.375,84.375,45
82.5,97.5,45
80.625,97.5,46.875
82.5,95.625,46.875
82.5,99.375,45
80.625,99.375,46.875
82.5,101.25,45
80.625,101.25,46.875
82.5,103.125,45
80.625,103.125,46.875
82.5,105,46.875
84.375,97.5,45
84.375,95.625,46.875
84.375,99.375,45
84.375,101.25,45
84.375,103.125,45
84.375,105,46.875
84.375,106.875,45
82.5,106.875,46.875
84.375,108.75,46.875
86.25,97.5,45
86.25,95.625,46.875
86.25,99.375,45
86.25,101.25,45
86.25,103.125,45
86.25,105,45
86.25,106.875,45
86.25,108.75,45
86.25,110.625,46.875
88.125,97.5,46.875
88.125,99.375,45
88.125,101.25,45
88.125,103.125,45
88.125,105,45
88.125,108.75,45
88.125,110.625,46.875
90,99.375,45
90,97.5,46.875
90,101.25,45
90,103.125,45
90,110.625,46.875
91.875,91.875,45
90,91.875,46.875
91.875,90,46.875
91.875,93.75,45
90,93.75,46.875
91.875,95.625,46.875
91.875,99.375,45
91.875,97.5,46.875
91.875,101.25,45
91.875,103.125,45
91.875,105,45
91.875,108.75,45
91.875,110.625,46.875
93.75,91.875,46.875
93.75,93.75,45
93.75,95.625,46.875
93.75,99.375,45
93.75,97.5,46.875
93.75,101.25,45
93.75,103.125,45
93.75,105,45
93.75,106.875,45
93.75,108.75,45
93.75,110.625,46.875
95.625,93.75,45
95.625,91.875,46.875
95.625,95.625,46.875
95.625,99.375,45
95.625,97.5,46.875
95.625,101.25,45
95.625,103.125,45
95.625,105,46.875
95.625,106.875,46.875
95.625,108.75,46.875
97.5,93.75,45
97.5,91.875,46.875
97.5,95.625,45
97.5,97.5,45
97.5,99.375,45
97.5,103.125,45
97.5,105,46.875
99.375,93.75,45
99.375,91.875,46.875
99.375,95.625,45
99.375,105,46.875
101.25,93.75,45
101.25,91.875,46.875
101.25,105,46.875
103.125,91.875,46.875
103.125,106.875,46.875
105,91.875,45
105,90,46.875
105,106.875,45
105,108.75,46.875
106.875,88.125,45
105,88.125,46.875
106.875,86.25,46.875
106.875,90,45
106.875,106.875,45
106.875,108.75,46.875
108.75,88.125,45
108.75,86.25,46.875
108.75,108.75,45
108.75,110.625,46.875
110.625,88.125,46.875
110.625,110.625,46.875
112.5,86.25,46.875
112.5,108.75,46.875
114.375,84.375,46.875
114.375,108.75,46.875
116.25,82.5,46.875
116.25,105,46.875
116.25,106.875,46.875
118.125,80.625,46.875
118.125,103.125,46.875
120,80.625,46.875
120,101.25,46.875
120,103.125,46.875
121.875,82.5,46.875
121.875,86.25,46.875
121.875,88.125,46.875
121.875,93.75,46.875
121.875,95.625,46.875
121.875,97.5,46.875
121.875,99.375,46.875
121.875,101.25,46.875
123.75,84.375,46.875
123.75,88.125,46.875
123.75,90,46.875
123.75,91.875,46.875
123.75,93.75,46.875
123.75,95.625,46.875
123.75,97.5,46.875
125.625,80.625,46.875
123.75,82.5,46.875
125.625,84.375,46.875
125.625,86.25,46.875
125.625,93.75,46.875
127.5,80.625,46.875
127.5,84.375,46.875
129.375,82.5,46.875
73.125,97.5,46.875
71.25,97.5,48.75
73.125,95.625,48.75
73.125,99.375,46.875
71.25,99.375,48.75
73.125,101.25,48.75
73.125,105,46.875
71.25,105,48.75
73.125,103.125,48.75
73.125,106.875,48.75
75,97.5,46.875
75,95.625,48.75
75,99.375,46.875
75,101.25,46.875
75,103.125,46.875
75,105,46.875
75,106.875,46.875
75,108.75,48.75
76.875,95.625,46.875
76.875,93.75,48.75
76.875,97.5,46.875
76.875,99.375,46.875
76.875,101.25,46.875
76.875,103.125,46.875
76.875,105,46.875
76.875,106.875,46.875
76.875,108.75,48.75
78.75,90,46.875
76.875,90,48.75
78.75,88.125,48.75
78.75,91.875,46.875
76.875,91.875,48.75
78.75,93.75,48.75
78.75,95.625,46.875
78.75,97.5,46.875
78.75,99.375,46.875
78.75,101.25,46.875
78.75,103.125,46.875
78.75,105,46.875
78.75,106.875,46.875
78.75,108.75,46.875
78.75,110.625,48.75
80.625,88.125,46.875
80.625,86.25,48.75
80.625,90,46.875
80.625,91.875,46.875
80.625,93.75,46.875
80.625,95.625,46.875
80.625,105,46.875
80.625,106.875,46.875
80.625,108.75,46.875
80.625,110.625,48.75
82.5,88.125,46.875
82.5,86.25,48.75
82.5,90,46.875
82.5,91.875,46.875
82.5,93.75,46.875
82.5,108.75,46.875
82.5,110.625,48.75
84.375,88.125,46.875
84.375,86.25,48.75
84.375,90,46.875
84.375,91.875,46.875
84.375,93.75,46.875
84.375,110.625,48.75
86.25,88.125,46.875
86.25,86.25,48.75
86.25,90,46.875
86.25,91.875,46.875
86.25,93.75,46.875
86.25,112.5,48.75
88.125,88.125,46.875
88.125,86.25,48.75
88.125,90,46.875
88.125,91.875,46.875
88.125,93.75,46.875
88.125,95.625,46.875
88.125,112.5,48.75
90,88.125,46.875
90,86.25,48.75
90,90,46.875
90,95.625,46.875
90,112.5,48.75
91.875,88.125,48.75
91.875,112.5,48.75
93.75,90,48.75
93.75,112.5,48.75
95.625,88.125,46.875
93.75,88.125,48.75
95.625,86.25,48.75
95.625,90,48.75
95.625,110.625,46.875
95.625,112.5,46.875
95.625,114.375,48.75
97.5,88.125,48.75
97.5,90,46.875
97.5,106.875,46.875
97.5,108.75,46.875
97.5,110.625,46.875
97.5,112.5,46.875
97.5,114.375,48.75
99.375,90,48.75
99.375,106.875,46.875
99.375,108.75,46.875
99.375,110.625,46.875
99.375,112.5,46.875
99.375,114.375,48.75
101.25,90,48.75
101.25,106.875,46.875
101.25,108.75,46.875
101.25,110.625,46.875
101.25,112.5,46.875
101.25,114.375,48.75
103.125,90,48.75
103.125,108.75,46.875
103.125,110.625,46.875
103.125,112.5,48.75
105,86.25,46.875
103.125,86.25,48.75
105,84.375,48.75
103.125,88.125,48.75
105,110.625,46.875
105,112.5,48.75
106.875,84.375,48.75
106.875,110.625,46.875
106.875,112.5,48.75
108.75,86.25,48.75
108.75,110.625,48.75
110.625,86.25,46.875
110.625,84.375,48.75
110.625,108.75,48.75
112.5,84.375,46.875
112.5,82.5,48.75
112.5,106.875,48.75
114.375,82.5,48.75
114.375,105,48.75
114.375,106.875,48.75
116.25,80.625,48.75
116.25,103.125,48.75
118.125,80.625,48.75
118.125,91.875,48.75
118.125,93.75,48.75
118.125,95.625,48.75
118.125,97.5,48.75
118.125,101.25,48.75
