Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
1,0,-0.141173124558762,-0.150707945461117,-0.163798752457169,-0.186053165481304,-0.240180655620959,-0.290681612659659,-0.205188672472591,-0.117694070503239,-0.0661148737743836,-0.092649065150659
2,0,-0.0800634859534728,-0.105513073892369,-0.0999794849086081,-0.139288559388198,-0.204533030555469,-0.258465901856036,-0.173330428910841,-0.0899421931343118,-0.0413581323391695,-0.0321964756415239
3,0,-0.130651824738631,-0.137735254393748,-0.142181190781276,-0.180528341830809,-0.23500638717222,-0.307861307964904,-0.214327644232735,-0.127670667279329,-0.0637298369535124,-0.0799525646609432
4,0,-0.0907396249477294,-0.113254566939153,-0.117280146865205,-0.147757157711822,-0.220153818334151,-0.258638983873228,-0.175190384676594,-0.103721104458878,-0.0463001615780252,-0.0492350334842663
5,0,-0.146064817969451,-0.152161387787076,-0.166062281190711,-0.204732821760134,-0.244977033050485,-0.340769607400802,-0.229757038143188,-0.125814077579245,-0.0813077828483897,-0.0861315412051427
6,0,-0.101195927326636,-0.131642006136203,-0.13253529003132,-0.173808412586979,-0.220407875362155,-0.295996737702667,-0.204663165258528,-0.0863528148038487,-0.0739953041019925,-0.0477343479284624
7,0,-0.123401400646989,-0.145409203227769,-0.155279434607071,-0.196050792606225,-0.233250377291791,-0.326159899376505,-0.221907510055744,-0.0960208020099416,-0.0846623639453273,-0.0639580160605262
8,0,-0.118281688896255,-0.140852704372876,-0.141267724893173,-0.187919911756992,-0.241810585883812,-0.318833031219079,-0.218330685645613,-0.112507483463784,-0.0792080419691108,-0.0650619081201688
9,0,-0.106858605092774,-0.131156354858474,-0.133493922651285,-0.172852857682047,-0.227335869847143,-0.294403283443888,-0.202992921712256,-0.107399130438388,-0.0688780270861582,-0.059225097614408
10,0,-0.11846506946303,-0.134685934622709,-0.137012732515105,-0.182650419171024,-0.241953111366372,-0.314954489643341,-0.215741038199893,-0.121235762846698,-0.0703922380764144,-0.0670991538635036
11,0,-0.109070528024451,-0.125547814388047,-0.124093514569814,-0.166778631322337,-0.232523475978853,-0.295502238433428,-0.201566420173333,-0.111684213665404,-0.0577079035072386,-0.0572548032177616
12,0,-0.101834294038019,-0.122395684736085,-0.128720540698197,-0.162302153795901,-0.233229083916551,-0.275989789616547,-0.189475774919412,-0.108152294451011,-0.0562529106124815,-0.0581072599836145
13,0,-0.0860985777473113,-0.112691598779032,-0.125007802993647,-0.151986652769244,-0.218951984665107,-0.245583022919323,-0.1681352095851,-0.0913622869187602,-0.0463210426748869,-0.0438722717248815
14,0,-0.148779178929563,-0.158403761203388,-0.177048269410671,-0.217954397114622,-0.252874864218631,-0.355946574507922,-0.236296786292947,-0.124528118208669,-0.0917120165298274,-0.0872603357694328
15,0,-0.103306523670089,-0.138452087159203,-0.137590708252332,-0.18289936681919,-0.225930207513042,-0.323586148313023,-0.214240562290279,-0.0789696475894837,-0.0805679634052431,-0.0469819009633746
16,0,-0.094977565855067,-0.129876921691149,-0.115416231497289,-0.171628334987308,-0.229682344863785,-0.317792617851649,-0.209157580134238,-0.0864495278586839,-0.0726164466071098,-0.0368801462148268
17,0,-0.068225646178556,-0.109892769765948,-0.0869670196325759,-0.150798570302465,-0.218446767146499,-0.299239476171324,-0.195365756098453,-0.0700918988101525,-0.0583382085676539,-0.00817978853312007
18,0,-0.0690989661702512,-0.103590123444214,-0.0839375805015981,-0.147051179735827,-0.218472007151335,-0.295921073520316,-0.192495926263855,-0.0806025657424858,-0.050897867609519,-0.00851931381156656
19,0,-0.0698226873841228,-0.0973978023854537,-0.0808715104785046,-0.14292217842299,-0.218134134370303,-0.291499436624391,-0.189821952571369,-0.090189195573209,-0.0443085413356228,-0.00935888547157315
