Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1,0,-0.045944016905469,-0.025156631792841,-0.0247176929136954,-0.0212562389380718,-0.0415014355412094,-0.0992460341574397,-0.0331852031971713,0.0188354121548746
2,0,-0.0717707525110343,-0.0648784138699726,-0.0516499485176541,-0.048780332638387,-0.0595331873619166,-0.142990259488951,-0.0522727488215227,-0.00236021164415134
3,0,-0.0626342768568309,-0.0377004665535607,-0.0349491659823427,-0.0289070780340062,-0.0463664130530959,-0.131486908775539,-0.0515357681533947,0.00883689220005834
4,0,-0.0900704477466009,-0.0796067856485235,-0.0629663266297217,-0.0542870853662196,-0.0542298126371844,-0.142414943859219,-0.0569276558816801,-0.0280050355500661
5,0,-0.0909695712918043,-0.0978884217883481,-0.0882585825856388,-0.0872719103729662,-0.0755180337922559,-0.162372926282788,-0.0648100891740598,-0.017515528390696
6,0,-0.105933472304796,-0.102142440877177,-0.102387505923282,-0.0937041533217519,-0.0725644397855394,-0.169034745634007,-0.0585347317341077,-0.0509635034900696
7,0,-0.0551956701164887,-0.0203738015225824,-0.0209416115641629,-0.0125979954929138,-0.0342146361561855,-0.110626559245019,-0.0452049677197729,0.0131250831948113
8,0,-0.0899545726336699,-0.0611096363218784,-0.0674669153968972,-0.0556346547010732,-0.0542371803838444,-0.164577867668086,-0.0854350350547689,-0.00420295270152038
9,0,-0.0941197513660812,-0.0892828430287702,-0.0931924783377889,-0.0885964733834801,-0.0736276381847323,-0.160678787037924,-0.0768733164442386,-0.0104449929381979
10,0,-0.111348749553704,-0.107211429711291,-0.114068851298012,-0.105871206855474,-0.0791987651614947,-0.177673729794013,-0.0717017605527936,-0.0380243079165811
11,0,-0.0632138425133929,-0.0422070247338887,-0.0405170411564016,-0.0335842817061057,-0.0372456496723956,-0.112808220430618,-0.041900011448757,-0.0280851006666466
12,0,-0.088313358442745,-0.0661818966823395,-0.0869170693914744,-0.0783703267478987,-0.0626544151781714,-0.142069693577592,-0.0782622589607763,0.00520878776037459
13,0,-0.0953737915542887,-0.0615534808282018,-0.0794871531433653,-0.0647724251331219,-0.0517226223473717,-0.159207071693493,-0.0958948271126406,-0.0070130551386216
14,0,-0.114097580423319,-0.112771118103999,-0.123706627583862,-0.117701856219143,-0.0834028019061985,-0.190493727609626,-0.101623061150981,-0.0286276904459464
15,0,-0.0965094382657544,-0.0879536394334768,-0.0982572348552365,-0.0933780580974344,-0.069186562180681,-0.161513989803243,-0.0793999953503488,-0.0287714175085886
16,0,-0.0723755148483837,-0.0607501251987127,-0.0718055847761168,-0.0724684587362452,-0.0566150485675353,-0.133449810006803,-0.0678534783994038,-0.0187971546170299
17,0,-0.05750716339822,-0.046533125286327,-0.0598345923248946,-0.0635390060912125,-0.0504409076951333,-0.115801353588587,-0.0577921080427782,-0.0142251028580208
18,0,-0.0238545425802914,-0.000743411564979257,0.00241588053382857,0.00372889808236776,-0.0134402876859243,-0.0693611313772695,-0.0316249330951162,-0.00571763798388158
19,0,-0.0624718068016531,-0.0545525529960922,-0.0731240676691784,-0.0774386808793615,-0.0527580618121202,-0.114977261226371,-0.057128698914216,-0.0308072465911416
20,0,-0.047393362046762,-0.0489698258727658,-0.0704950114651441,-0.0799226452265819,-0.0572138856884729,-0.112479227831553,-0.053043058369265,-0.0099158274373643
21,0,-0.0617065527628443,-0.064957556460581,-0.0938625361971875,-0.102153540972554,-0.0649813640698217,-0.119825522893483,-0.0575571698565359,-0.0433790150790744
22,0,-0.0885734480595448,-0.0598144376780787,-0.0848807180259152,-0.0745182197940584,-0.0561718839658979,-0.135958069428936,-0.0822717794250458,0.000367646761677332
23,0,-0.0950537885288876,-0.0551397243222653,-0.0770910279806911,-0.0603253708519029,-0.0446430414973125,-0.152536858928227,-0.0994167318496174,-0.0122032053361496
24,0,-0.114982771012331,-0.108323017212731,-0.124404842672779,-0.116057801401547,-0.0775981019997793,-0.187097479272326,-0.107288971897161,-0.0348960447401268
25,0,-0.105942500827605,-0.103018959777285,-0.126016643573668,-0.124320512083068,-0.0808561527308524,-0.177799691428341,-0.0997598841444416,-0.0306802174826371
26,0,-0.096429023146974,-0.0970575161655229,-0.126521806523944,-0.131377541927022,-0.0835333026418641,-0.168633679093418,-0.0924436702906222,-0.0270773301937819
27,0,-0.0865090254948155,-0.0905450218684376,-0.126012530873058,-0.137224282722517,-0.0856232758764247,-0.159559323785831,-0.0853429804412803,-0.0240705570183699
28,0,-0.0796852300085382,-0.0826488639227512,-0.118689954333165,-0.126494150429975,-0.0801431416802606,-0.129808266050719,-0.0627099165261062,-0.0426306631846839
29,0,-0.0606945940030242,-0.0579331841803898,-0.0962724197900631,-0.108955070218712,-0.0636513000637514,-0.116188253826124,-0.0619970641008114,-0.0402614301571604
30,0,-0.0887899421893467,-0.0539694447718971,-0.0829571787828012,-0.0709996892454425,-0.0499406445820503,-0.128149946282266,-0.0847531242349793,-0.00439494609890234
31,0,-0.0759122091633201,-0.0174919000838522,-0.035959393847294,-0.01913373713689,-0.0248226333195815,-0.12754778796791,-0.0774657221834534,-0.00927496866545152
32,0,-0.115879995308392,-0.104417132622996,-0.125151709513349,-0.114504461127949,-0.0717906676221256,-0.182023056334294,-0.111143207370175,-0.0409863048324036
33,0,-0.107242043367471,-0.0990938198351232,-0.126693257287101,-0.123299786959182,-0.0753633248088551,-0.172613299382065,-0.103508483277915,-0.0365299975718243
34,0,-0.0980938926490942,-0.0931014110233063,-0.127058193122485,-0.130841222490043,-0.0783522255429957,-0.163269563793671,-0.0960039387231097,-0.0326650785083907
35,0,-0.0885002237899435,-0.0865523434465313,-0.126349228420529,-0.137124167796693,-0.0807506461382418,-0.153958873527734,-0.088640383163657,-0.0293745366176339
36,0,-0.0692612126739066,-0.0629658288330911,-0.1022355496778,-0.11348945165173,-0.0678746148846656,-0.122216691574232,-0.0685520159827612,-0.0302652148261437
37,0,-0.0623290384412265,-0.0521475040635833,-0.0926619288277859,-0.103912258234933,-0.0564837211292084,-0.103615643122836,-0.0620187766822541,-0.0412805898442832
38,0,-0.0616785442462822,-0.0631258495966325,-0.111744172475697,-0.130980818166802,-0.0718677379780274,-0.111740473979696,-0.0663156332818023,-0.0449312537495781
39,0,-0.0677323119820954,-0.00104001571753709,-0.0184612017833724,-0.000691372809390467,-0.0162912556771908,-0.107418257616189,-0.0615781665180501,-0.00578893229971567
40,0,-0.0899036646827331,-0.0293183875536653,-0.0491407591053603,-0.0249139635718886,-0.0215684989555772,-0.14194984676363,-0.0973135368992673,-0.0216186435744915
41,0,-0.106402797606118,-0.0758921590286492,-0.094168284754345,-0.0760029515830628,-0.0510397717227552,-0.153663808768391,-0.0993190095207644,-0.0359766498875449
42,0,-0.11676050667163,-0.101086336401552,-0.125982096659688,-0.11318391135717,-0.066031007968563,-0.175343938366198,-0.113045047025047,-0.0467481431592103
43,0,-0.108520965928936,-0.095696656100003,-0.127415765197938,-0.122455835513721,-0.0698815397089945,-0.165864813940648,-0.105368198603008,-0.0420301658583021
44,0,-0.0997329039024709,-0.0896240043974157,-0.127603165368717,-0.130427002670058,-0.0731480010560279,-0.156380615991552,-0.0977437535837393,-0.037884310748594
45,0,-0.0904594768068977,-0.08298801707381,-0.126658796817868,-0.137093298094603,-0.0758236311135695,-0.146866278908254,-0.0901895706130368,-0.0342934923848942
46,0,-0.0807691492324869,-0.0759041707961312,-0.124708270320351,-0.142466805748159,-0.077905314927366,-0.137295686538347,-0.0827228648577518,-0.0312380094278671
47,0,-0.0707284831189697,-0.0683520115922746,-0.118172615814991,-0.1310275602359,-0.0744380632736615,-0.0958232648929755,-0.0587630349239591,-0.0471024749405555
48,0,-0.0602475508662156,-0.0590353614432096,-0.112705159406607,-0.130850368315188,-0.072307014952061,-0.0886432884258392,-0.0585037826372665,-0.0476649318587438
