Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1,0,-0.111095929356524,-0.164206847043971,-0.0083174785683362,-0.028899406796278,-0.0393331901303551,-0.0179829518412554,-0.074508132709978,-0.0383443308962069
2,0,-0.12832726512225,-0.171976691710701,-0.0053160294761776,-0.0411334371789964,-0.0243262158308495,-0.00623860597520653,-0.0675113656696834,-0.0478006172853381
3,0,-0.142247063183859,-0.192146915584337,-0.023256477132764,-0.0623910356697642,-0.0202459388889069,-0.0182227604924268,-0.0789629314232443,-0.0353743041788718
4,0,-0.152202824090136,-0.200765373348081,-0.031050835847012,-0.0297584805189504,-0.0146770414845454,-0.0165163323744435,-0.0964367877470361,-0.0792222959043896
5,0,-0.158578732949194,-0.192537725899782,-0.0213911804422084,-0.0366434195648766,-0.0192139894528935,-0.00511297257993859,-0.0739018723100442,-0.0646527495314211
6,0,-0.166659194404782,-0.22093101860288,-0.0593741054437508,-0.0338267729732294,0.000707877015298397,-0.0102243866512008,-0.086879671886811,-0.0690296979663279
7,0,-0.177219912759472,-0.228658008414204,-0.0547955946384205,-0.0602249636400141,-0.022533073553624,-0.0320229804755281,-0.0905654216683484,-0.0403088367825228
8,0,-0.164351302149503,-0.238867876200424,-0.082549429546779,-0.0456846317172916,0.0256666408999469,-0.0165411014467879,-0.110013335256114,-0.0733126836660619
9,0,-0.0395847646089197,-0.0845266912935513,0.013188661493676,-0.0140593254750508,-0.0278394038526307,0.0030613482072992,-0.0326892470349991,0.00371090959590115
10,0,-0.0783932817263628,-0.108980347464351,-0.0113534923131853,-0.0116785718362434,-0.0222849049135263,0.0022548386181418,-0.0445651839833153,-0.0248782954481139
11,0,-0.0532853398765116,-0.103226650516193,0.00813661126447141,-0.0228868987701143,-0.0111864093946972,-0.00352828451957221,-0.0362874603419112,0.000226078916071293
12,0,-0.0859455855250912,-0.124082533342491,-0.0100028455705796,-0.00144044872004734,-0.00878650608926634,0.00217211781076498,-0.0381082366345303,-0.0150019711526314
13,0,-0.102866127838704,-0.109287450134579,-0.0166104477071009,0.00403104428500489,-0.0457932287151538,0.0108590664100399,-0.0525375187681644,-0.0474374277486773
14,0,-0.115146304248344,-0.150375896345435,-0.0386846906372807,-0.00843418591329737,-0.00576263475787031,0.00801134201876774,-0.0529168654524157,-0.0482397707608653
15,0,-0.117194836228368,-0.130988281983345,-0.0421105431872502,-0.00922104288848979,-0.0362229807853306,0.00923378294593546,-0.0595467469528926,-0.0547125012562497
16,0,-0.113073274285302,-0.14322782118316,-0.0516419490275453,-0.01272173378879,-0.0180343233455608,0.0135280865343648,-0.0552967328545585,-0.0491313529448499
17,0,-0.0775014299889371,-0.141681045766544,-0.0129070894145549,-0.0258406227506344,0.0121285122854515,-0.010490910201724,-0.072437236485641,-0.0159591096362993
18,0,-0.0593995945155262,-0.128708701626914,0.0115341142144274,-0.0383639252306591,0.020366157113002,-0.0204245393297936,-0.0526204607157649,-0.0107292925344145
19,0,-0.0457124213664729,-0.109266375825884,0.00266919170870228,-0.0567199299456748,-0.000350979303112786,-0.0201253086676468,-0.0641863998492919,-0.00790281334116327
20,0,-0.107865472894908,-0.182597732384893,-0.0326195356103728,-0.0301360915860068,0.0456208272037588,-0.0108495856425787,-0.0671999281726015,-0.011341484089112
21,0,-0.0496900385945177,-0.0973593240865082,0.015818251530167,-0.0192365958958275,-0.0235914344407234,-0.000521035820325144,-0.0374360299213579,-0.00389158157165781
22,0,-0.0859542782894401,-0.147222074665268,-0.0192124294824813,-0.0322417337484571,0.00356379874436707,-0.0115084669400256,-0.056482123336795,-0.00917777493687266
23,0,-0.0751923912530325,-0.132974773373671,-0.00320804958317766,-0.019254328028574,0.00661816568757678,-0.00696575716098924,-0.0361744874620347,0.0040226389789153
24,0,-0.0892925965625925,-0.15031927041541,-0.0218270449454413,-0.013627960294972,0.0191899742059698,-0.00482411001916749,-0.0310547658840296,0.00679710031058489
25,0,-0.106243188547869,-0.153767936645146,-0.0379704563662244,-0.00954161357719729,0.00643648133416863,0.00580976611889605,-0.0408416222466669,-0.0216197776429641
26,0,-0.0945378589017701,-0.131196519772349,-0.0344607937266916,-0.00435246371989584,-0.0206472630642449,0.012888074931807,-0.040476774181874,-0.0212628160289261
27,0,-0.12819685532771,-0.171106052111041,-0.0766438924244954,-0.0134346389818185,-0.0202020818388959,0.00687336555254925,-0.0648031111048573,-0.0601036363556301
28,0,-0.0942988793305487,-0.159254237935572,-0.0805993671609524,-0.0279786718454103,-0.0334343579332418,0.000501271557707961,-0.0610183935303896,-0.0546547596696955
29,0,-0.113962993723398,-0.167272000583462,-0.0842416327667176,-0.0269298569339826,-0.0343745872726241,0.00161333297168476,-0.0795423802773452,-0.0788999800013892
30,0,-0.0589894336565455,-0.118240115418669,0.0134819759243672,-0.0351016983807811,0.014130691238871,-0.00118994650052029,-0.0676623098971529,-0.0314221257084523
31,0,-0.0351473773963172,-0.0902627138501156,-0.00227530126532605,-0.0553992119690073,-0.000433685762949221,0.00261903002996888,-0.063959251933791,-0.00962872452513408
32,0,-0.110502125619203,-0.167172814827203,-0.0186586936281057,-0.0226558409530899,0.0300765967260428,-0.00109036608672719,-0.0896587108216533,-0.0465832627089972
33,0,-0.0580312761835238,-0.108512120551732,0.0167992217744792,-0.0260640007765279,-0.020588320566418,-0.00460496282711687,-0.0435689697671037,-0.0117431877919084
34,0,-0.0879384437025894,-0.139797486904892,-0.0213300844520863,-0.0378687179902275,0.0116796224612066,0.0056559346037055,-0.0642825221013247,-0.0284599216090748
35,0,-0.0874334587406624,-0.145736953294749,-0.000243356942523421,-0.0269275482343793,0.00852535364531537,-0.0104411704296563,-0.0440099610135416,-0.00324227926850618
36,0,-0.1052917634151,-0.165036058320813,-0.0179472335280755,-0.0214418167755387,0.0204098017723811,-0.00828186913651963,-0.0391932206916351,-0.000284302647742374
37,0,-0.104156433185597,-0.161817544782182,-0.0268752179389032,-0.0154844926831967,0.0136118844810207,-0.00319176596905102,-0.035487528659244,-0.00227874468463096
38,0,-0.0999982144688267,-0.157335343212936,-0.0361098938857395,-0.010106992644035,0.00677748444533588,0.00208239343183614,-0.0322500005283751,-0.00436069142301465
39,0,-0.117192018903183,-0.177351424934505,-0.064059875825086,-0.0086691146783211,0.0109047772801993,0.00314649773347253,-0.0438828125824898,-0.0302862215915181
40,0,-0.115472935138984,-0.170254444994626,-0.0731718368294015,-0.0104939497591322,0.00895496836077037,0.00891145858287268,-0.0672556484058795,-0.0745013972561305
41,0,-0.0606509913212033,-0.124875421355372,0.0115896078521598,-0.0588713992493699,0.00757438866545046,-0.0167563015136186,-0.0686161278278282,-0.0117902777803571
42,0,-0.047466765345185,-0.0974664520668118,-0.00411654641868164,-0.0700743303715385,0.000603711476035773,0.00103151096965681,-0.0774884822068166,-0.00825720909032068
43,0,-0.101414440551565,-0.16134198647216,0.00945854083504871,-0.0316612908837516,0.0294900882818019,-0.0065443876801089,-0.0776553899895853,-0.0479631310607211
44,0,-0.107976613090287,-0.150325890508304,-0.00707396968765972,-0.0324297795508258,-0.00634104747572317,-0.00637197314145133,-0.0844510061291197,-0.0573863299228702
45,0,-0.0703051129346191,-0.132733155042489,0.00494144230886029,-0.0468488111674555,-0.00497527666320452,-0.0118366996079103,-0.0486665690229074,0.00628336149047892
46,0,-0.118679634102816,-0.177788510643176,-0.0155907885798623,-0.0314181742143121,0.0203479466187499,-0.0118664333861206,-0.048690848666283,-0.00737387898598896
47,0,-0.120428896641099,-0.176227139178929,-0.023885842835784,-0.0244862918966906,0.0135233219377671,-0.0071060805054084,-0.0441540913126095,-0.0092923282256695
48,0,-0.119020615511519,-0.173327762136079,-0.0325168213542859,-0.0180945492384146,0.0066692160977917,-0.00203822011657917,-0.0400080181195418,-0.0113080163142516
49,0,-0.11453504825753,-0.169127142829896,-0.0414235864076311,-0.0122607087620239,-0.00018273165885152,0.00322871190828278,-0.0362735367207943,-0.0133551921213841
50,0,-0.151671868646306,-0.21036081888203,-0.0842566459192404,-0.0116192333164372,0.0211443170458223,0.000798630747227413,-0.0643090396070388,-0.0647547522445733
51,0,-0.120890573068579,-0.17879324108165,-0.0723886957677234,-0.0118807178728386,0.0136494949487733,0.00769288770159271,-0.0726615225979839,-0.0866757716398531
52,0,-0.0886678813557648,-0.158738575429243,-0.00949785959008276,-0.0676166297834928,0.0144950405184268,-0.0321551089063918,-0.0844482137423205,0.00286326710666929
53,0,-0.0879751016730361,-0.12921686592416,-0.00888821723676736,-0.057015975209755,-0.00143534647641408,-0.0166268475439421,-0.102835362544511,-0.0193114835968037
54,0,-0.101866174560255,-0.167003344251539,-0.00576207379188087,-0.044606030633618,0.0215082435784593,-0.013166354598683,-0.0771311550592788,-0.0233549171006978
55,0,-0.1125737367917,-0.164964248696151,0.00528496695581482,-0.0381694578276004,-5.06936949571379e-05,-0.0166172842689395,-0.0676572052142619,-0.0397325953856457
56,0,-0.111183159165619,-0.166269246657231,-0.00499745652022088,-0.0404357087269139,0.00199084655389581,-0.0131557282076783,-0.0582069743248362,-0.0189199644053533
57,0,-0.1338906538208,-0.188487560969583,-0.0224256147511618,-0.0356533038172782,0.0121603493870244,-0.0111678227781844,-0.054078519396267,-0.0162719783108165
58,0,-0.135461576115968,-0.187315006255776,-0.0304265981170085,-0.028318989533898,0.00527999689165437,-0.00644139083795936,-0.0491738981007315,-0.0182425564991749
59,0,-0.133811477455676,-0.184764871456651,-0.0387292485284715,-0.0214982089713308,-0.00158931611978752,-0.0013921311936963,-0.044600098858808,-0.0202559613056679
60,0,-0.144521923637808,-0.198398710037926,-0.0613130517165231,-0.0163969226476008,0.00739526417945813,0.0011156943609929,-0.0556269535101422,-0.0448004987103107
61,0,-0.161946565240968,-0.220284071776211,-0.0930933920703607,-0.0152099331815927,0.0263085563865026,-0.00229285362557541,-0.0834141806172495,-0.0909058480095513
62,0,-0.101631857748236,-0.157553104820812,-0.0127037708476674,-0.0633574359826168,-0.004965457076061,-0.0266356345297099,-0.0925844427386212,-0.0238194657493795
63,0,-0.0978571934372431,-0.158320931139299,-0.00328400654598959,-0.06426160986447,0.000612014889430412,-0.0184228259014997,-0.0674485643077705,-0.00911503570391292
64,0,-0.136043405419172,-0.196149222866924,-0.0154851810368334,-0.0574991884469542,0.0164638691054009,-0.0189573851262602,-0.0707020474367968,-0.0213161963989594
65,0,-0.144134584651164,-0.198274809830399,-0.0224934669505825,-0.048881992506156,0.00955869904277296,-0.0152600703447558,-0.0649917557218819,-0.0231552462995082
66,0,-0.148891202090573,-0.198960291782071,-0.0298588721366859,-0.0406943971788775,0.00264025480443975,-0.0110085968895001,-0.0594930621076191,-0.0251024844351554
67,0,-0.150313213745794,-0.19820744254518,-0.0375393776541184,-0.0329654778536103,-0.00425754787168009,-0.00630966900154584,-0.0542364392813475,-0.0271017648639843
68,0,-0.148456464060903,-0.196037821279116,-0.0454859958988308,-0.0257227882669671,-0.0111024432551193,-0.00127566268296575,-0.0492522020091979,-0.0290904306859885
69,0,-0.17120070469381,-0.213754575660149,-0.0662405466196925,-0.0240548078948162,0.00841004944599244,0.00580994914570909,-0.0729280217084788,-0.0821167768448835
70,0,-0.129933594928808,-0.174188238343876,-0.0489746279899647,-0.0151553129429014,0.00387125856327941,0.0183078778150569,-0.0775248871185349,-0.0942498607706681
71,0,-0.0550974959466295,-0.124860921853345,-0.00237244310456908,-0.0540378105302167,0.0276495765709062,-0.00509612797573644,-0.108664988005248,-0.0437536678436647
72,0,-0.0490008224749807,-0.118839519376854,-0.0043425800086685,-0.0725376532325768,0.0144880086153014,-0.00946871208093214,-0.094235253826035,-0.0507240223915227
73,0,-0.0528345792270709,-0.105419795947165,-0.00792339881628246,-0.0493644654404785,0.012450515701901,-0.0130367736882844,-0.104931615868532,-0.0388820983596242
74,0,-0.0584011391393403,-0.138569817216975,-0.00630052028332528,-0.0685420834271053,0.0171222982998154,-0.00539736559457538,-0.0976728705086644,-0.0618688428339611
75,0,-0.101282134376947,-0.156454242054693,-0.00898772683015225,-0.0683559388362173,-0.0125696447617396,-0.0172949390567323,-0.0702954038173902,-0.0129899467832827
76,0,-0.0958007193304444,-0.145595473812039,0.000772952408000016,-0.0648157198017232,-0.030443578973344,-0.0218248335161818,-0.0831462160259281,-0.0527446377368587
77,0,-0.150790194922156,-0.205276365976303,-0.0240473552792388,-0.0640261734184866,0.00577992339857714,-0.0192695928683216,-0.0766065592007338,-0.0298813318019139
78,0,-0.162616783594045,-0.207107004256742,-0.0446213847503325,-0.0355259228980055,-0.0139621842879124,-0.00583926542214441,-0.0574425140082924,-0.034571948335351
79,0,-0.162884766063959,-0.207050786398605,-0.0527569369020406,-0.0307825462479735,-0.021797227289908,-0.00170429764826951,-0.0539569680994989,-0.0377815955611532
80,0,-0.176848796694458,-0.229247875759825,-0.0803920439188806,-0.024587802074007,0.0140946257430314,-0.00245370540555057,-0.085402572246685,-0.0883798713399871
81,0,-0.122471834982364,-0.17218452977839,-0.0479401723556133,-0.0124739773187986,-0.016322643443794,0.0161076082342559,-0.0676538806410593,-0.065991330077835
