Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1,0,0.0290660364455722,-0.207663985386896,0.0652920035535081,-0.132739666841584,-0.162508067901972,-0.0932428761555483,-0.0227754191786714,-0.0780041094112226
2,0,0.0679428787334986,-0.161135389734308,0.126152498902787,-0.0702567971455946,-0.104634173866381,-0.0828122407319646,0.0911246383199429,-0.0792435319917204
3,0,0.0437075684585921,-0.161897008698908,0.0708086674753994,-0.0780579587737017,-0.0967421265206273,-0.0661597689922026,0.0920534107432778,-0.0739041066196732
4,0,0.00106334402313113,-0.234379254894422,0.0136756500247774,-0.164021577709033,-0.202219540378119,-0.102286105813618,-0.0802405484113519,-0.0668474199646053
5,0,0.0121191286463449,-0.205662302899205,0.0342414507351745,-0.130367146558895,-0.170667831395438,-0.110688694677344,-0.0147528593025901,-0.0663288504960299
6,0,-0.00626556641959697,-0.24232058535313,-0.0103490398042216,-0.17769086127693,-0.216945998457723,-0.113695875937054,-0.0877904315239714,-0.0671718159604225
7,0,0.030065546076921,-0.203098456451193,0.0703081179611487,-0.130810254971052,-0.156205120730944,-0.104618190855445,-0.0126236177431793,-0.080476448278361
8,0,0.0175287623535985,-0.163369244742107,0.0212695981089259,-0.0818585319296915,-0.0860790982682187,-0.041078858646332,0.0638717561531905,-0.0608827483493032
9,0,-0.0115644273928313,-0.252148000403284,0.00513597350529915,-0.202258350431626,-0.236488736223947,-0.114475541445471,-0.151106868282597,-0.0728379899127874
10,0,-0.0175296933336392,-0.264208770041619,-0.0178487700109522,-0.215167347454692,-0.252719810838429,-0.113096793126872,-0.16247194475108,-0.0704795398261809
11,0,-0.0103243227348064,-0.266228415685726,-0.0217102704258384,-0.2133388990927,-0.246564817481483,-0.11880716450494,-0.143598661867502,-0.0696513909257621
12,0,-0.0335340761111608,-0.278241744017757,-0.0627370765693116,-0.243252453504045,-0.271499039800708,-0.124240162332536,-0.209327227539199,-0.0570621324102276
13,0,-0.0165149759065657,-0.247568809429618,-0.00656324418584531,-0.20456953820056,-0.216973576460504,-0.116932592134016,-0.138027687532973,-0.0782784186329755
14,0,0.000306128208748646,-0.194940587515407,-0.000147138150378145,-0.131675969051001,-0.12440508222685,-0.0735257037601502,-0.0347604360938607,-0.0643009067330553
