Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
1,0,0.00164324922315395,0.0127623866223758,-0.205421105267724,-0.215865898267906,-0.274927656987125,-0.385449125153279,-0.282986265111464,-0.217894632880674,-0.13672172601865,-0.125109684087445
2,0,-0.028173524803452,0.0095420782256197,-0.247116024133292,-0.227954225056911,-0.294353145979676,-0.394245866288574,-0.275038821262427,-0.230460635726713,-0.118824773349096,-0.121461831795863
3,0,-0.00114140641040472,0.0114359076472543,-0.222227885349705,-0.224906932261361,-0.288697674053983,-0.393612389356068,-0.285127331655668,-0.227908779034146,-0.133271454965939,-0.11298489566676
4,0,-0.0513426071754911,-0.0278662762161737,-0.269297723682947,-0.267164243200805,-0.336190284596669,-0.409354569369723,-0.312034601183039,-0.259811005237789,-0.135586892429798,-0.138123755351817
5,0,-0.0384847147049955,-0.0193514254211834,-0.266686943845325,-0.241047773725662,-0.325328606734555,-0.392676102072275,-0.291768147956112,-0.249517808264737,-0.117030022379135,-0.113872442686591
6,0,-0.0132149458886505,-0.0838425384037657,-0.205463271936785,-0.285285193136443,-0.350101947745959,-0.347897901864256,-0.339654751055635,-0.267629621897698,-0.173818601938398,-0.127353801416092
7,0,-0.00228593155114531,0.00467298795533666,-0.219164028713172,-0.229355475727008,-0.28991615303101,-0.406046595289973,-0.295952197696699,-0.228863890325991,-0.142633453740266,-0.118728110250254
8,0,-0.00233267605753518,0.00468761622075564,-0.232611328585205,-0.237186321275027,-0.303626899467955,-0.411667982786875,-0.299166940411725,-0.239234797304447,-0.140121090430031,-0.106435527371211
9,0,-0.0126075613772277,0.0369870039445293,-0.239070116504265,-0.20046175064536,-0.278436752158546,-0.385918417331509,-0.299480586553754,-0.237288810512158,-0.120915126300735,-0.0951213065394971
10,0,-0.0281166533937245,-0.00978317008224461,-0.259940685134253,-0.243675074789657,-0.319378517829612,-0.362813987497857,-0.318140465148758,-0.263365087900136,-0.140489343268914,-0.107260204647326
11,0,0.00653233586045143,-0.0664890232108932,-0.173948282365349,-0.262153406982881,-0.313375236918462,-0.305018197346424,-0.328632254336458,-0.251115120226307,-0.192222994704447,-0.120517050796423
12,0,-0.00533805954890776,-0.00340132235277069,-0.230331229860852,-0.241528474005366,-0.304385878103044,-0.424021309028845,-0.307897352433037,-0.238631776760856,-0.148799614798026,-0.111190945290513
13,0,0.00637671513811111,0.00703097927262575,-0.220762180288557,-0.229758266503341,-0.303678247120414,-0.41395473196935,-0.314625342861685,-0.242571494984325,-0.143149559075007,-0.0843805481613261
14,0,-0.0126932863475632,0.0328346618168531,-0.246577184735161,-0.211440283546442,-0.291837554069563,-0.403434358063522,-0.312282482947285,-0.245377252260922,-0.128189518363772,-0.0879653802259466
15,0,-0.017511189797122,0.0500251024104525,-0.257609074343403,-0.18948345108514,-0.275441273176329,-0.386033285342749,-0.311721003818072,-0.246517646201141,-0.120339916280833,-0.0836469118507126
16,0,-0.0288323593249193,-0.00954499234798445,-0.258076519689075,-0.240302502248415,-0.317858428836713,-0.363519887910943,-0.326812216183434,-0.267663565232814,-0.151296797838188,-0.109001410484597
17,0,0.0031450862490896,-0.0636891838794931,-0.167547430573866,-0.255282152936456,-0.305440384987971,-0.296237215548538,-0.329131785380319,-0.249847839265082,-0.203387766335167,-0.121629314137792
18,0,0.0127767160119978,0.0341960134955011,-0.208006723651443,-0.19441295475869,-0.27038617625444,-0.390001423428664,-0.317422050275013,-0.22952430527904,-0.140537640150644,-0.0692131446865296
19,0,0.00202908964243975,0.00034800097515042,-0.22670512879818,-0.236329644267252,-0.308440342722457,-0.425234755940176,-0.324630944466561,-0.24747496201256,-0.151769914662334,-0.0892502652688384
20,0,-0.0157964714158745,0.0475446523340819,-0.262777022271632,-0.199461593770971,-0.287607877732809,-0.401131237038554,-0.323506322782185,-0.252915255891205,-0.129298022683204,-0.0766376867999966
21,0,-0.0193935617410411,0.0479779102628484,-0.26170271842675,-0.188492226706499,-0.275156899697529,-0.392643040337703,-0.32284659400051,-0.250441441556739,-0.128878733371496,-0.0843851469300299
22,0,-0.0192614426537617,-0.0130843661816974,-0.268910855382475,-0.248920769773213,-0.319038844237673,-0.353958304922003,-0.293371556532881,-0.252376027491303,-0.161843128061901,-0.116545142700231
23,0,0.00902587599045446,-0.0391499347002536,-0.194737329798263,-0.255688799430809,-0.283731107008834,-0.309323906356847,-0.252417381304247,-0.205968892131099,-0.180820950131986,-0.133617986910206
24,0,-0.0104708400158193,-0.0121658547488599,-0.239608772631078,-0.249763445675962,-0.315467052215165,-0.440392781859001,-0.32473809435379,-0.247592687846647,-0.159900067288369,-0.100130389455386
25,0,0.00826026528956603,0.0151173206967781,-0.226981872446737,-0.22562763923244,-0.307275344815272,-0.41508206719654,-0.332364625840085,-0.249691276372232,-0.154578753379562,-0.0677589888977597
26,0,-0.0135171231702418,0.0276296119597814,-0.252756313945273,-0.218566491059949,-0.302614836057435,-0.420352415277666,-0.333155660631093,-0.254553955491371,-0.143088943736546,-0.0790445406099206
27,0,-0.017881495832036,0.0456073636353489,-0.266037736304801,-0.197806062755794,-0.286240622265569,-0.40590372529179,-0.333031900381889,-0.255555874203247,-0.138131796145817,-0.0771801634633176
28,0,-0.0185348048192781,0.0198207671653194,-0.26692405925328,-0.218321938938489,-0.297416858558672,-0.374605178410933,-0.313982330943373,-0.25406814247528,-0.154450057871569,-0.0981554504398693
29,0,0.00067808237883793,-0.03848271120026,-0.200715767385292,-0.252445814906387,-0.292937158419006,-0.297103121776616,-0.272880643794961,-0.224206100358957,-0.197671394798998,-0.125967102699643
30,0,0.00364598684214279,0.0258216490733669,-0.215545058308385,-0.20047097252682,-0.276281015489713,-0.402269751263902,-0.330099031566544,-0.230359509808845,-0.154612163329003,-0.0607759391294546
31,0,-0.00271203812868348,-0.0067564024104434,-0.22937910329717,-0.240108037800683,-0.315122567075515,-0.432091605402465,-0.337801896392251,-0.251524826752229,-0.163667013616627,-0.0786715130384722
32,0,-0.0146629830936229,0.0438320200702755,-0.266151464499898,-0.205004198577502,-0.295847895181691,-0.413705461540911,-0.342069165252089,-0.259475846861768,-0.147640176841976,-0.069012693845964
33,0,-0.0207770089205822,0.0432681617045443,-0.26893499201038,-0.195878365306862,-0.28330138418416,-0.408839225385902,-0.340357697947502,-0.256599151154311,-0.147100747569615,-0.0777777165152886
34,0,-0.0154728885424952,-0.00535790521373769,-0.266779038020012,-0.244092322111425,-0.313946146956092,-0.346838637730897,-0.297207424061003,-0.256963854738411,-0.185001647795894,-0.118291122322818
35,0,0.00707647957129565,-0.0331219119532858,-0.200770020664296,-0.251005183383916,-0.275852392929329,-0.296582593245643,-0.249050950421545,-0.209549062261527,-0.201498886791475,-0.137537309772388
36,0,-0.0159177379115955,-0.0205655795999774,-0.242683931087204,-0.253642455300728,-0.321747515536367,-0.446493194519147,-0.334925213110506,-0.250486332809124,-0.171206610628835,-0.0882231902683815
37,0,-0.00348209265482546,-0.0126678948372577,-0.240790186282923,-0.253831608379591,-0.333970047592582,-0.438827847563685,-0.341926094373059,-0.262344081438351,-0.173099138717929,-0.0774850348617798
38,0,-0.0143692792173823,0.0230331698136903,-0.252186495490609,-0.221304804668234,-0.307905305025033,-0.425054184696207,-0.347547171213294,-0.258188039845047,-0.158617046157832,-0.0692599090711915
39,0,-0.0177841520218752,0.0417461654383935,-0.267775643324416,-0.202193499167679,-0.291748344743044,-0.41411899669394,-0.347819464833396,-0.259344289432418,-0.156874530649671,-0.069591685830765
40,0,-8.97281032543606e-05,0.0211415642361759,-0.282696833946696,-0.22720442160725,-0.297532821490338,-0.361494531198153,-0.281407593073802,-0.244244427363373,-0.179303646456599,-0.108505738912455
41,0,0.0130873067160906,-0.0173214169981024,-0.239788701890679,-0.248331089730706,-0.28334363403072,-0.298852689488321,-0.227297601223215,-0.211262402643902,-0.205743107480444,-0.137122084993257
42,0,-0.0169128368293451,-0.0266499030267611,-0.240183841488063,-0.25710261795057,-0.329664909190846,-0.447627225840062,-0.339052480944189,-0.2522269209437,-0.177482758909373,-0.0788649289055954
43,0,0.00223205458548081,-0.00406449716582613,-0.219407421297827,-0.222155485837994,-0.302330133430792,-0.41590423168643,-0.327872496647167,-0.232365682126543,-0.167258292084984,-0.0555696924869076
44,0,-0.0110218749212564,0.0212384310079126,-0.245063040294926,-0.223567810849148,-0.313964079104455,-0.421562865531519,-0.353330741169821,-0.259514383088509,-0.166582338577793,-0.0597730018952549
45,0,-0.0131536433581131,0.0412221830356518,-0.261463016143436,-0.205691801803727,-0.298248689875467,-0.412323407296005,-0.354048917329113,-0.260856057101794,-0.166701525075959,-0.060843358418423
46,0,-0.010771103075001,0.0248266830186727,-0.26187177266303,-0.218500325182403,-0.298761380599847,-0.368031935750044,-0.323146771130087,-0.25782704229121,-0.185632432297972,-0.0884960793233908
47,0,-0.00170040680126549,-0.0141456909463944,-0.244780033796042,-0.251990535671833,-0.313590974035938,-0.285802632025572,-0.265602618862999,-0.253947781959844,-0.227943916830518,-0.135060297562057
48,0,-0.00922676062841787,0.012116098554765,-0.225332007009134,-0.201171699524083,-0.281387183503893,-0.409060377848565,-0.326589203555181,-0.221191687857935,-0.156892905836267,-0.0518514982933213
49,0,-0.0181018618959853,-0.00947445484480014,-0.194429616778257,-0.198643577348831,-0.272616372556826,-0.404159488911702,-0.330428676394035,-0.208232354198431,-0.164602478130988,-0.0440882169068046
50,0,0.00416641607792312,0.0354902524102896,-0.282265218044222,-0.206049813436907,-0.299844200380071,-0.413798985886826,-0.321132623537514,-0.252648652909535,-0.154505467866169,-0.0708252212372824
51,0,-0.0151724138596632,0.028976371939647,-0.257254828925938,-0.198573826267413,-0.276958824093922,-0.403402362305998,-0.332848435432877,-0.237666770407264,-0.168965249913521,-0.0659234728111329
52,0,0.000623136852877737,0.0120712382148254,-0.250966443520464,-0.230236216636285,-0.300502947789612,-0.316376169900366,-0.291735894658894,-0.256606499175402,-0.218782085824605,-0.113965521665556
53,0,-0.00150862437025423,-0.0148865893933454,-0.234094082787837,-0.241886797344155,-0.301630283022489,-0.272065685443538,-0.25792302329393,-0.252987016326421,-0.245283174684221,-0.144076931545412
54,0,0.000367363816050847,0.0275899743373831,-0.246160910384947,-0.201452727440095,-0.30149879431235,-0.398098253851485,-0.34173880295108,-0.253616223285185,-0.165415388690249,-0.0608650901474631
55,0,-0.0119736006531992,0.0163408361297688,-0.247524360669082,-0.196043280202566,-0.276505533335023,-0.39260077665379,-0.331103203087268,-0.235402729864417,-0.170092372686119,-0.068558114260725
56,0,0.000120710649903488,0.00939001986452692,-0.238419811933854,-0.205805008762623,-0.261673728262836,-0.338702182159157,-0.281106747866249,-0.214447033382387,-0.196917216262833,-0.0944512695911133
57,0,0.0400510686637789,0.0127501450548904,-0.27202254547108,-0.236495262222455,-0.287874134972877,-0.277755229023326,-0.209582454749184,-0.233679189285531,-0.244079477208965,-0.154579281801257
58,0,0.0172423027423516,0.0167419324389282,-0.248678047554634,-0.210392206501844,-0.275295083773068,-0.309903672387721,-0.264200378922081,-0.236225830851268,-0.222750332507685,-0.117195221508187
59,0,-0.00638195608487213,-0.00989719522962318,-0.221123574712619,-0.241452403577159,-0.294885900974782,-0.381945463699357,-0.246563976946186,-0.209979562259647,-0.122158446867348,-0.115292700015663
60,0,-0.0387788965033351,-0.0117712257610064,-0.254593115898481,-0.252461573432912,-0.304410472456495,-0.377952303693556,-0.225933517783538,-0.20691596454979,-0.102292787764023,-0.10862183267998
61,0,0.01054727087846,0.0109027333935243,-0.214860371243337,-0.225810266083918,-0.286697478109859,-0.364109124814989,-0.245646792674877,-0.211676800042972,-0.105612290259404,-0.0785736952352876
62,0,-0.0563283844260537,-0.010665251532037,-0.268881344694396,-0.257720975525254,-0.316357060871889,-0.400550695952899,-0.244312474661666,-0.219883878029237,-0.108073737146941,-0.12110229232395
63,0,-0.0597647242670709,-0.0182688694334281,-0.26625708675989,-0.255430754310361,-0.309930392320592,-0.38760229859453,-0.229740353229738,-0.210020770735876,-0.103369264054702,-0.121875047416195
64,0,-0.0551893607755112,-0.00575169189481051,-0.262743334359491,-0.244822487312802,-0.30536927095189,-0.392017493743353,-0.244917890090199,-0.217871847425515,-0.10802234931257,-0.126228795691718
65,0,-0.0574353985703729,-0.0135196583163824,-0.259555544147629,-0.242684473325114,-0.299703657657789,-0.379085060084174,-0.230819545650508,-0.208489251784722,-0.103688085554688,-0.125901124764874
66,0,-0.0526217142228462,-0.00106509876316396,-0.25469595984667,-0.231462239999764,-0.293728071396628,-0.381618238774812,-0.245656973679525,-0.215529510292848,-0.10802598315247,-0.130639850299653
67,0,-0.0537216467268239,-0.00905606653768354,-0.251088766397236,-0.229567124632678,-0.288848251151236,-0.368801159001964,-0.232043401670757,-0.20663610386525,-0.104121955802722,-0.129193615063266
68,0,-0.0555404241811197,-0.0378359224227612,-0.262299636814514,-0.25879662376418,-0.32216564240919,-0.385008003794589,-0.271587593006904,-0.23512814415244,-0.119333486195755,-0.134779866075939
