% RR interval,RV pressure (mmHg)
0,14.85981308
1.801801802,15.79439252
5.405405405,16.63551402
7.207207207,17.10280374
7.207207207,18.13084112
9.009009009,18.97196262
9.90990991,20.09345794
10.81081081,22.14953271
11.71171171,24.57943925
13.51351351,29.43925234
14.41441441,32.71028037
15.31531532,35.70093458
17.11711712,38.87850467
19.81981982,41.30841121
19.81981982,42.52336449
20.72072072,43.36448598
23.42342342,43.92523364
25.22522523,43.17757009
27.02702703,42.42990654
28.82882883,41.86915888
31.53153153,42.71028037
33.33333333,43.73831776
35.13513514,46.91588785
36.93693694,48.69158879
37.83783784,49.34579439
39.63963964,50
41.44144144,49.25233645
44.14414414,47.38317757
46.84684685,42.61682243
46.84684685,39.1588785
48.64864865,36.63551402
49.54954955,34.11214953
50.45045045,31.30841121
52.25225225,28.69158879
54.05405405,25.60747664
54.95495495,23.17757009
56.75675676,20.28037383
57.65765766,15.79439252
58.55855856,13.08411215
59.45945946,11.02803738
60.36036036,9.252336449
62.16216216,7.943925234
63.06306306,7.196261682
65.76576577,5.981308411
66.66666667,6.542056075
69.36936937,7.102803738
70.27027027,8.037383178
71.17117117,8.878504673
72.07207207,9.719626168
74.77477477,10.46728972
77.47747748,11.21495327
84.68468468,11.21495327
90.09009009,11.30841121
97.2972973,11.77570093
100,11.77570093
